iter,mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
1,1665.0758056640625,0.0,0.0,0.0,7978.0556640625
2,1993.363525390625,0.0,-6.480506896972656,-6.480506896972656,7978.0556640625
3,2784.864990234375,0.0,-7.826238632202148,-7.826238632202148,7978.0556640625
4,1616.0987548828125,0.0,-0.3608148694038391,-7.826238632202148,7978.0556640625
5,478.5331115722656,0.0,0.0,-7.826238632202148,7978.0556640625
6,793.8855590820312,0.0,-5.890908718109131,-7.826238632202148,7978.0556640625
7,1286.7318115234375,0.0,0.0,-7.826238632202148,7978.0556640625
8,0.0,0.0,0.0,-7.826238632202148,7978.0556640625
9,0.0,0.0,0.0,-7.826238632202148,7978.0556640625
10,0.6969791650772095,0.0,0.0,-7.826238632202148,7978.0556640625
11,0.0,0.0,0.0,-7.826238632202148,7978.0556640625
12,793.8521118164062,0.0,0.0,-7.826238632202148,7978.0556640625
13,1194.916748046875,0.0,-7.57100248336792,-7.826238632202148,7978.0556640625
14,1400.270263671875,0.0,-1.8491322994232178,-7.826238632202148,7978.0556640625
15,939.5501098632812,0.0,-0.09044700115919113,-7.826238632202148,7978.0556640625
16,822.6038208007812,0.0,0.0,-7.826238632202148,7978.0556640625
17,1280.976806640625,0.0,0.0,-7.826238632202148,7978.0556640625
18,395.890625,0.0,-2.9182586669921875,-7.826238632202148,7978.0556640625
19,917.0525512695312,0.0,0.0,-7.826238632202148,7978.0556640625
20,134.53668212890625,0.0,-0.9810032248497009,-7.826238632202148,7978.0556640625
21,1017.6842041015625,0.0,-10.4173002243042,-10.4173002243042,7978.0556640625
22,1157.1756591796875,0.0,-6.5269622802734375,-10.4173002243042,7978.0556640625
23,2002.9453125,0.0,-7.281195640563965,-10.4173002243042,7978.0556640625
24,1745.041259765625,0.0,-6.884071350097656,-10.4173002243042,7978.0556640625
25,1660.9212646484375,0.0,-9.090924263000488,-10.4173002243042,7991.34326171875
26,2058.470703125,0.0,-7.448688507080078,-10.4173002243042,7991.34326171875
27,1795.5980224609375,0.0,-3.892359972000122,-10.4173002243042,7991.34326171875
28,3410.133544921875,2.9448797702789307,-5.7474870681762695,-10.4173002243042,7991.34326171875
29,1664.128662109375,0.0,-10.726544380187988,-10.726544380187988,7991.34326171875
30,1302.904296875,0.0,-10.73318862915039,-10.73318862915039,7991.34326171875
31,2917.21826171875,44.71465301513672,-14.10973072052002,-14.10973072052002,7991.34326171875
32,3755.40234375,1993.13427734375,-12.80583381652832,-14.10973072052002,7991.34326171875
33,4550.53662109375,7918.29248046875,-6.846480369567871,-14.10973072052002,7991.34326171875
34,3166.078369140625,83.39842987060547,-6.64127254486084,-14.10973072052002,7991.34326171875
35,1091.141357421875,0.0,-12.804472923278809,-14.10973072052002,7991.34326171875
36,1155.78564453125,0.0,-15.750391006469727,-15.750391006469727,7991.34326171875
37,2225.97705078125,1.0610020160675049,-24.124149322509766,-24.124149322509766,7991.34326171875
38,1611.7105712890625,0.0,-15.726454734802246,-24.124149322509766,7991.34326171875
39,2580.782470703125,5.51590633392334,-2.2912051677703857,-24.124149322509766,7991.34326171875
40,962.544921875,22.269399642944336,-17.203083038330078,-24.124149322509766,7991.34326171875
41,933.9744262695312,0.0,-34.61687088012695,-34.61687088012695,7991.34326171875
42,561.7569580078125,0.0,-10.075651168823242,-34.61687088012695,7991.34326171875
43,799.270751953125,0.0,-19.58877944946289,-34.61687088012695,7991.34326171875
44,1921.574462890625,69.17943572998047,-13.743032455444336,-34.61687088012695,7991.34326171875
45,1909.918701171875,0.0,-7.452195644378662,-34.61687088012695,7991.34326171875
46,1416.2767333984375,0.0,-13.163690567016602,-34.61687088012695,7991.34326171875
47,147.3596954345703,0.0,-9.866081237792969,-34.61687088012695,7991.34326171875
48,3226.141357421875,498.6777648925781,-10.8988037109375,-34.61687088012695,7991.34326171875
49,2930.662109375,1.2569246292114258,-11.064886093139648,-34.61687088012695,7991.34326171875
50,1499.1954345703125,0.0,-8.676066398620605,-34.61687088012695,7991.34326171875
51,2430.24853515625,0.0,-46.96701431274414,-46.96701431274414,7991.34326171875
52,1968.838623046875,86.81727600097656,-24.933048248291016,-46.96701431274414,7991.34326171875
53,965.9065551757812,0.0,-69.61225891113281,-69.61225891113281,7991.34326171875
54,2141.60791015625,65.51165771484375,-69.89076232910156,-69.89076232910156,7991.34326171875
55,582.5155029296875,0.0,-32.7153434753418,-69.89076232910156,7991.34326171875
56,3017.55126953125,783.9257202148438,-23.97585678100586,-69.89076232910156,7991.34326171875
57,1237.315673828125,0.0,-42.67522430419922,-69.89076232910156,7991.34326171875
58,1634.49755859375,0.0,-56.057342529296875,-69.89076232910156,7991.34326171875
59,727.06494140625,-9.387809753417969,-54.9041862487793,-69.89076232910156,7991.34326171875
60,525.0305786132812,-11.639930725097656,-75.1839828491211,-75.1839828491211,7991.34326171875
61,587.3733520507812,-4.393433570861816,-49.00071334838867,-75.1839828491211,7991.34326171875
62,1584.2318115234375,8.79813289642334,-90.25685119628906,-90.25685119628906,7991.34326171875
63,1340.462158203125,-13.900959014892578,-62.9260139465332,-90.25685119628906,7991.34326171875
64,937.79638671875,-2.332324743270874,-84.31148529052734,-90.25685119628906,7991.34326171875
65,3059.24169921875,543.639404296875,-94.49275207519531,-94.49275207519531,7991.34326171875
66,2281.469482421875,133.3360595703125,-82.02244567871094,-94.49275207519531,7991.34326171875
67,2281.589111328125,192.09329223632812,-99.72540283203125,-99.72540283203125,7991.34326171875
68,1709.59375,29.01225471496582,-118.9420166015625,-118.9420166015625,7991.34326171875
69,2115.93896484375,321.0228271484375,-102.07093048095703,-118.9420166015625,7991.34326171875
70,872.3736572265625,-19.056421279907227,-141.67550659179688,-141.67550659179688,7991.34326171875
71,3172.900634765625,374.0885009765625,-64.49028778076172,-141.67550659179688,7991.34326171875
72,1486.8419189453125,-56.32615280151367,-178.32032775878906,-178.32032775878906,7991.34326171875
73,2014.4349365234375,11.29007339477539,-96.61607360839844,-178.32032775878906,7991.34326171875
74,2933.73974609375,549.2333984375,-114.589599609375,-178.32032775878906,7991.34326171875
75,1478.6365966796875,0.0,-66.02031707763672,-178.32032775878906,7991.34326171875
76,1802.057861328125,261.80609130859375,-94.11773681640625,-178.32032775878906,7991.34326171875
77,1166.179931640625,-6.752037048339844,-151.8245849609375,-178.32032775878906,7991.34326171875
78,1857.28125,158.4491424560547,-97.48074340820312,-178.32032775878906,7991.34326171875
79,2376.095458984375,671.1947021484375,-94.15093994140625,-178.32032775878906,7991.34326171875
80,986.5703125,-14.954133987426758,-118.09534454345703,-178.32032775878906,7991.34326171875
81,1995.731689453125,45.9096565246582,-104.9996337890625,-178.32032775878906,7991.34326171875
82,4308.41259765625,3871.35302734375,-38.418861389160156,-178.32032775878906,7991.34326171875
83,1504.6510009765625,18.61818504333496,-128.17446899414062,-178.32032775878906,7991.34326171875
84,2724.455322265625,253.18719482421875,-71.9786148071289,-178.32032775878906,7991.34326171875
85,895.9976806640625,164.73780822753906,-95.22869873046875,-178.32032775878906,7991.34326171875
86,979.6544189453125,-8.61711597442627,-88.13735961914062,-178.32032775878906,7991.34326171875
87,1109.898681640625,29.811206817626953,-142.81288146972656,-178.32032775878906,7991.34326171875
88,2034.987060546875,-5.740536689758301,-129.8041534423828,-178.32032775878906,7991.34326171875
89,1549.439697265625,137.267578125,-164.05889892578125,-178.32032775878906,7991.34326171875
90,3068.80712890625,1316.468017578125,-150.47825622558594,-178.32032775878906,7991.34326171875
91,2976.17333984375,126.82209014892578,-126.0670394897461,-178.32032775878906,7991.34326171875
92,2430.85595703125,61.57185363769531,-173.4087371826172,-178.32032775878906,7991.34326171875
93,1485.4896240234375,125.72244262695312,-137.01014709472656,-178.32032775878906,7991.34326171875
94,723.170166015625,84.95931243896484,-136.46530151367188,-178.32032775878906,7991.34326171875
95,1989.1025390625,164.5791473388672,-142.01199340820312,-178.32032775878906,7991.34326171875
96,1637.561767578125,69.12103271484375,-109.13357543945312,-178.32032775878906,7991.34326171875
