iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
1,9546.37109375,3669.1962890625,7615.0,3669.1962890625,16952.0
2,7898.4208984375,2840.0,6515.0,2840.0,16952.0
3,7177.14111328125,3380.0,6195.0,2840.0,16952.0
4,6341.6748046875,2695.0,5925.0,2695.0,16952.0
5,6100.21875,4555.0,5890.0,2695.0,16952.0
6,6154.369140625,3825.0,6015.0,2695.0,16952.0
7,6209.6708984375,4345.0,6100.0,2695.0,16952.0
8,6138.15625,4340.0,5960.0,2695.0,16952.0
9,5954.890625,4205.0,5990.0,2695.0,16952.0
10,6154.87646484375,3650.0,6130.0,2695.0,16952.0
11,5927.578125,3775.0,5845.0,2695.0,16952.0
12,5961.328125,3870.0,5810.0,2695.0,16952.0
13,6130.890625,4030.0,5915.0,2695.0,16952.0
14,6045.25146484375,3555.0,5955.0,2695.0,16952.0
15,5852.421875,3740.0,5765.0,2695.0,16952.0
16,6404.4521484375,4255.0,6110.0,2695.0,16952.0
17,6153.05517578125,3835.0,6035.0,2695.0,16952.0
18,6391.7890625,4105.0,5720.0,2695.0,16952.0
19,5975.88916015625,3300.0,5830.0,2695.0,16952.0
20,6589.0126953125,2685.0,6050.0,2685.0,16952.0
21,6379.60107421875,3890.0,6115.0,2685.0,16952.0
22,6496.34521484375,4120.0,6180.0,2685.0,16952.0
23,6119.25244140625,3840.0,5875.0,2685.0,16952.0
24,6789.82275390625,3975.0,6205.0,2685.0,16952.0
25,6290.49951171875,3975.0,6025.0,2685.0,16952.0
26,6179.896484375,4605.0,6090.0,2685.0,16952.0
27,6058.0419921875,4185.0,6055.0,2685.0,16952.0
28,6055.16748046875,3980.0,5840.0,2685.0,16952.0
29,6169.85791015625,3745.0,5920.0,2685.0,16952.0
30,5949.53955078125,3865.0,5880.0,2685.0,16952.0
31,6317.21875,4105.0,6045.0,2685.0,16952.0
32,6346.515625,3395.0,6040.0,2685.0,16952.0
33,6050.859375,3520.0,6070.0,2685.0,16952.0
34,6158.67431640625,3790.0,6230.0,2685.0,16952.0
35,5943.984375,3530.0,5820.0,2685.0,16952.0
36,5898.71337890625,3290.0,5775.0,2685.0,16952.0
37,5797.5,3615.0,5715.0,2685.0,16952.0
38,6016.640625,4365.0,5945.0,2685.0,16952.0
39,5915.8681640625,3905.0,6110.0,2685.0,16952.0
40,6249.08984375,3825.0,6115.0,2685.0,16952.0
41,6108.15625,3230.0,6065.0,2685.0,16952.0
