iter,pop_best_eval,mean_eval,median_eval,best_eval,worst_eval
1,2520.69775390625,3011.31982421875,2890.000244140625,2520.69775390625,3965.0
2,2600.0,7912.8154296875,10682.0,2520.69775390625,11557.0
3,2340.0,4117.5068359375,3510.0,2340.0,11557.0
4,2570.0,3230.038818359375,2920.0,2340.0,11557.0
5,2730.0,3281.87353515625,3193.734130859375,2340.0,11557.0
6,1942.5267333984375,3235.06103515625,3230.0,1942.5267333984375,11557.0
7,1545.0635986328125,2832.984375,2878.77197265625,1545.0635986328125,11557.0
8,2265.0,4684.7822265625,3090.0,1545.0635986328125,11572.0
9,2063.469970703125,3189.93212890625,2965.0,1545.0635986328125,11572.0
10,2155.011962890625,4112.2744140625,3425.0,1545.0635986328125,11572.0
11,2740.0,3386.081298828125,3239.60693359375,1545.0635986328125,11572.0
12,2315.0,2840.525634765625,2570.0,1545.0635986328125,11572.0
13,1855.0,4117.1689453125,3505.0,1545.0635986328125,11792.0
14,1840.00390625,3155.25634765625,3105.0,1545.0635986328125,11792.0
15,2610.0,3862.724609375,3075.00048828125,1545.0635986328125,11792.0
16,2495.2939453125,4140.8623046875,3365.0,1545.0635986328125,11792.0
17,2140.0,4028.44189453125,3225.0,1545.0635986328125,11792.0
18,2025.0,3087.5,3025.0,1545.0635986328125,11792.0
19,2510.0,3866.27734375,2820.0,1545.0635986328125,11792.0
20,2620.0,3351.00244140625,3270.0,1545.0635986328125,11792.0
21,2685.0,3313.5,3050.0,1545.0635986328125,11792.0
22,2675.041015625,3670.00390625,3130.0,1545.0635986328125,11792.0
23,2195.0,3437.04541015625,3485.0,1545.0635986328125,11792.0
24,2725.0,6385.16845703125,3685.21044921875,1545.0635986328125,11792.0
25,1670.0,3810.42431640625,3187.2421875,1545.0635986328125,11792.0
26,2410.0,3055.0,3115.0,1545.0635986328125,11792.0
27,2880.0,3250.0,3235.0,1545.0635986328125,11792.0
28,2480.0,3084.0,2800.0,1545.0635986328125,11792.0
29,1700.0,4356.40234375,2565.0,1545.0635986328125,11792.0
30,2045.0,3019.0,2825.0,1545.0635986328125,11792.0
31,2290.0,3981.699951171875,3170.0,1545.0635986328125,11792.0
32,2350.54443359375,7008.62255859375,5862.0,1545.0635986328125,12282.0
33,2170.0,2888.5,2870.0,1545.0635986328125,12282.0
34,2310.0,4075.39990234375,2950.0,1545.0635986328125,12282.0
35,2360.0,7061.28759765625,3740.0,1545.0635986328125,12282.0
36,2650.0,4104.10009765625,3470.0,1545.0635986328125,12282.0
37,1971.0845947265625,4680.3505859375,3125.0,1545.0635986328125,12437.0
38,1810.0,4622.75927734375,3110.33740234375,1545.0635986328125,12437.0
39,1880.6337890625,3404.752685546875,2953.342041015625,1545.0635986328125,12437.0
40,1997.423095703125,8341.4013671875,9145.51953125,1545.0635986328125,12437.0
41,2125.723388671875,3962.2734375,3085.0,1545.0635986328125,12437.0
42,2365.0,2959.97412109375,2880.033203125,1545.0635986328125,12437.0
43,2545.0,3389.50341796875,3230.0,1545.0635986328125,12437.0
44,2585.0,3317.0,3265.0,1545.0635986328125,12437.0
45,3320.8994140625,7894.71728515625,7520.0,1545.0635986328125,12437.0
46,2231.666748046875,6131.494140625,3996.886962890625,1545.0635986328125,12497.0
47,2575.0,6449.294921875,3880.0,1545.0635986328125,12497.0
48,2210.0,3025.5,2840.0,1545.0635986328125,12497.0
49,3395.72705078125,8239.4580078125,9255.1083984375,1545.0635986328125,12497.0
50,2347.775390625,4167.2236328125,3611.2138671875,1545.0635986328125,12497.0
51,2593.910400390625,5894.9619140625,5911.42578125,1545.0635986328125,12497.0
52,2371.817138671875,3607.43994140625,3550.0,1545.0635986328125,12497.0
53,2329.4150390625,3116.43701171875,2946.871826171875,1545.0635986328125,12497.0
54,2926.96484375,7948.0224609375,7452.20458984375,1545.0635986328125,12497.0
55,3599.3017578125,8528.904296875,8024.7578125,1545.0635986328125,12497.0
56,2275.0,3165.5,2980.0,1545.0635986328125,12497.0
57,2656.35498046875,5000.3056640625,3685.0,1545.0635986328125,12497.0
58,2511.7060546875,6322.544921875,3992.974609375,1545.0635986328125,12497.0
59,2455.0,4432.1689453125,3103.259765625,1545.0635986328125,12497.0
60,1985.1912841796875,5092.015625,3686.50390625,1545.0635986328125,12497.0
61,2323.89208984375,5207.5244140625,3505.52880859375,1545.0635986328125,12497.0
62,2270.001708984375,2968.637451171875,2735.0,1545.0635986328125,12497.0
63,2490.0,3126.0,2975.0,1545.0635986328125,12497.0
64,2670.0,3256.0,3080.0,1545.0635986328125,12497.0
65,1790.0,3129.10009765625,3050.0,1545.0635986328125,12497.0
66,2177.555908203125,5372.4501953125,3893.91748046875,1545.0635986328125,12497.0
67,2437.050048828125,7150.4873046875,4963.3095703125,1545.0635986328125,12497.0
68,2230.0,3126.5,3270.0,1545.0635986328125,12497.0
69,2950.0,4999.98876953125,3957.630615234375,1545.0635986328125,12497.0
70,2750.000244140625,5013.6943359375,3874.872314453125,1545.0635986328125,12497.0
71,2375.000732421875,2931.530029296875,2905.0,1545.0635986328125,12497.0
72,2085.0,5861.80615234375,4703.12109375,1545.0635986328125,12497.0
73,2047.3807373046875,4374.0986328125,3245.0,1545.0635986328125,12497.0
74,2555.24365234375,7131.93603515625,3960.0,1545.0635986328125,12497.0
75,2400.020263671875,3197.57275390625,2945.0,1545.0635986328125,12497.0
76,2161.61572265625,3241.382080078125,3217.435791015625,1545.0635986328125,12497.0
77,2301.87548828125,3137.6875,3065.0,1545.0635986328125,12497.0
78,2088.2763671875,3022.377685546875,2664.919677734375,1545.0635986328125,12497.0
79,2789.555908203125,5653.3505859375,5123.14501953125,1545.0635986328125,12497.0
80,2180.0,3348.0,3260.0,1545.0635986328125,12497.0
81,2264.19677734375,4917.9267578125,3924.236328125,1545.0635986328125,12497.0
82,3008.818115234375,6775.83203125,6568.72705078125,1545.0635986328125,12497.0
83,1470.0,4568.1943359375,3086.8876953125,1470.0,12497.0
84,2535.0,5220.70068359375,3750.0,1470.0,12497.0
85,1961.5252685546875,3429.630126953125,3015.0,1470.0,12497.0
86,2195.0,3116.24609375,2687.110107421875,1470.0,12497.0
87,2101.056884765625,3236.899658203125,3165.0,1470.0,12497.0
88,2790.00439453125,5329.7060546875,3213.212158203125,1470.0,12497.0
89,2193.143310546875,3686.75634765625,3035.0,1470.0,12497.0
90,2325.0,3139.4794921875,3200.0,1470.0,12497.0
91,1780.0,3507.635986328125,2911.033447265625,1470.0,12497.0
92,2328.64599609375,3521.112060546875,3149.983642578125,1470.0,12497.0
93,1990.894287109375,4852.62353515625,3795.268798828125,1470.0,12497.0
94,2745.86865234375,4178.2587890625,3443.095703125,1470.0,12497.0
95,2655.0,3496.13330078125,3388.818603515625,1470.0,12497.0
96,2260.18896484375,3059.894287109375,3000.0,1470.0,12497.0
97,2365.0,3030.0,2805.0,1470.0,12497.0
98,2156.07861328125,3330.242919921875,3280.017333984375,1470.0,12497.0
99,2320.0,3134.686279296875,2976.863525390625,1470.0,12497.0
100,2400.0,3118.51318359375,2905.0,1470.0,12497.0
101,3066.234130859375,6658.0283203125,4244.20556640625,1470.0,12497.0
102,1940.0,2850.5,2820.0,1470.0,12497.0
103,2230.807373046875,3981.56689453125,3207.679443359375,1470.0,12497.0
104,2218.76416015625,5410.4638671875,3503.6962890625,1470.0,12497.0
105,1944.35595703125,3648.003173828125,3101.42431640625,1470.0,12497.0
