iter,stepsize,pop_best_eval,mean_eval,median_eval
1,ReadOnlyTensor(0.0394),14.339912414550781,9.850929260253906,10.263168334960938
2,ReadOnlyTensor(0.0389),12.95901107788086,8.133703231811523,7.735006332397461
3,ReadOnlyTensor(0.0384),15.534707069396973,10.965109825134277,10.931804656982422
4,ReadOnlyTensor(0.0379),10.103095054626465,8.034708976745605,8.080060958862305
5,ReadOnlyTensor(0.0375),11.785746574401855,8.689791679382324,8.73449993133545
6,ReadOnlyTensor(0.0371),14.704060554504395,9.456522941589355,8.245298385620117
7,ReadOnlyTensor(0.0368),12.803430557250977,9.874832153320312,9.11728286743164
8,ReadOnlyTensor(0.0364),9.52856159210205,7.128636360168457,5.900664329528809
9,ReadOnlyTensor(0.0361),11.159540176391602,7.897284030914307,8.557682037353516
10,ReadOnlyTensor(0.0357),13.807701110839844,10.137055397033691,10.02453327178955
11,ReadOnlyTensor(0.0354),11.705490112304688,7.956001281738281,7.432451248168945
12,ReadOnlyTensor(0.0351),10.346332550048828,8.186823844909668,8.334305763244629
13,ReadOnlyTensor(0.0349),13.962913513183594,10.492332458496094,12.123462677001953
14,ReadOnlyTensor(0.0346),15.192063331604004,10.740335464477539,11.236919403076172
15,ReadOnlyTensor(0.0344),14.474946975708008,11.002920150756836,11.029341697692871
16,ReadOnlyTensor(0.0341),14.871660232543945,10.325271606445312,10.483477592468262
17,ReadOnlyTensor(0.0339),10.549534797668457,7.667118072509766,8.758713722229004
18,ReadOnlyTensor(0.0337),11.787666320800781,9.340967178344727,9.277809143066406
19,ReadOnlyTensor(0.0335),13.38308334350586,10.271754264831543,10.539260864257812
20,ReadOnlyTensor(0.0333),11.010632514953613,9.462850570678711,9.545621871948242
21,ReadOnlyTensor(0.0331),14.878887176513672,10.159684181213379,9.79701042175293
22,ReadOnlyTensor(0.0329),10.846254348754883,7.598707675933838,7.240250587463379
23,ReadOnlyTensor(0.0328),11.590453147888184,9.195709228515625,8.807905197143555
24,ReadOnlyTensor(0.0326),12.625073432922363,9.98583984375,10.246110916137695
25,ReadOnlyTensor(0.0325),14.634456634521484,10.03663444519043,9.289494514465332
26,ReadOnlyTensor(0.0323),13.032431602478027,8.173057556152344,7.409502029418945
27,ReadOnlyTensor(0.0322),8.721626281738281,6.644115447998047,6.628355026245117
28,ReadOnlyTensor(0.0321),17.9747257232666,12.005041122436523,12.707916259765625
29,ReadOnlyTensor(0.0319),18.690589904785156,12.961156845092773,11.364216804504395
30,ReadOnlyTensor(0.0318),17.510799407958984,12.71063232421875,12.02469539642334
31,ReadOnlyTensor(0.0317),14.503803253173828,10.673019409179688,9.432297706604004
32,ReadOnlyTensor(0.0316),14.60086727142334,11.435763359069824,10.77469253540039
33,ReadOnlyTensor(0.0315),11.308117866516113,8.162646293640137,8.613443374633789
34,ReadOnlyTensor(0.0314),15.313719749450684,11.687564849853516,10.869529724121094
35,ReadOnlyTensor(0.0313),12.406063079833984,7.7852678298950195,7.154786586761475
36,ReadOnlyTensor(0.0312),17.04307746887207,11.848766326904297,11.371498107910156
37,ReadOnlyTensor(0.0312),15.618041038513184,11.5630464553833,10.67506217956543
38,ReadOnlyTensor(0.0311),15.401342391967773,10.62496566772461,9.582634925842285
39,ReadOnlyTensor(0.0310),14.178521156311035,10.25434684753418,10.839197158813477
40,ReadOnlyTensor(0.0309),12.165446281433105,7.784282684326172,7.832682132720947
41,ReadOnlyTensor(0.0309),11.192407608032227,6.678153991699219,5.919918537139893
42,ReadOnlyTensor(0.0308),15.022150039672852,10.75439453125,11.883514404296875
43,ReadOnlyTensor(0.0307),13.738224029541016,10.075305938720703,8.563920021057129
44,ReadOnlyTensor(0.0306),14.272648811340332,9.929725646972656,9.503287315368652
45,ReadOnlyTensor(0.0306),13.286576271057129,9.674347877502441,9.293051719665527
46,ReadOnlyTensor(0.0305),15.8526611328125,12.786439895629883,12.146121978759766
