iter,stepsize,pop_best_eval,mean_eval,median_eval
1,ReadOnlyTensor(0.0392),10.034867286682129,7.4128217697143555,7.599148750305176
2,ReadOnlyTensor(0.0385),9.269729614257812,6.448256015777588,6.123438358306885
3,ReadOnlyTensor(0.0378),8.57245922088623,6.628593444824219,6.75162410736084
4,ReadOnlyTensor(0.0373),6.675321102142334,5.581875324249268,5.495972156524658
5,ReadOnlyTensor(0.0367),9.581872940063477,8.252676963806152,8.411025047302246
6,ReadOnlyTensor(0.0362),10.077805519104004,8.739706039428711,9.228693008422852
7,ReadOnlyTensor(0.0357),8.894576072692871,7.074039459228516,6.761582851409912
8,ReadOnlyTensor(0.0353),7.2470879554748535,6.594958305358887,6.668405055999756
9,ReadOnlyTensor(0.0349),7.583322525024414,6.140869140625,6.109926700592041
10,ReadOnlyTensor(0.0345),8.984594345092773,6.727200984954834,6.603076457977295
11,ReadOnlyTensor(0.0341),9.151084899902344,7.426846504211426,7.302133083343506
12,ReadOnlyTensor(0.0338),9.496780395507812,8.297600746154785,8.700166702270508
13,ReadOnlyTensor(0.0335),9.896072387695312,8.267763137817383,8.257821083068848
14,ReadOnlyTensor(0.0333),10.213088989257812,8.958698272705078,9.1820707321167
15,ReadOnlyTensor(0.0330),7.159585475921631,5.95681095123291,6.177437782287598
16,ReadOnlyTensor(0.0328),8.207634925842285,6.736489295959473,6.8520188331604
17,ReadOnlyTensor(0.0326),7.682431697845459,6.272676467895508,6.3892436027526855
18,ReadOnlyTensor(0.0324),8.817800521850586,7.488423824310303,8.005158424377441
19,ReadOnlyTensor(0.0322),6.606060981750488,5.5407514572143555,5.305581092834473
20,ReadOnlyTensor(0.0320),9.25666332244873,7.4416184425354,7.9433207511901855
21,ReadOnlyTensor(0.0318),5.934998035430908,4.550548076629639,4.462857723236084
22,ReadOnlyTensor(0.0317),9.153488159179688,6.263847827911377,6.113480091094971
23,ReadOnlyTensor(0.0315),7.958223342895508,5.425241947174072,5.407195091247559
24,ReadOnlyTensor(0.0314),9.021143913269043,7.66918420791626,7.664318084716797
25,ReadOnlyTensor(0.0313),8.733894348144531,6.834446907043457,7.0461835861206055
26,ReadOnlyTensor(0.0311),7.383970260620117,6.038575649261475,5.980734825134277
