iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
37,-125.69926452636719,-11.429198265075684,-101.98043060302734,-3.984286069869995,-2951.484375
38,-139.64877319335938,-11.180541038513184,-133.08128356933594,-3.984286069869995,-2951.484375
39,-177.691650390625,-7.832064628601074,-161.64614868164062,-3.984286069869995,-2951.484375
40,-96.47014617919922,-8.765599250793457,-113.2114486694336,-3.984286069869995,-2951.484375
41,-94.85662841796875,-5.38500452041626,-90.63532257080078,-3.984286069869995,-2951.484375
42,-144.2730712890625,-18.643211364746094,-161.7472686767578,-3.984286069869995,-2951.484375
43,-94.60090637207031,-9.960980415344238,-114.96955871582031,-3.984286069869995,-2951.484375
44,-79.16325378417969,-13.489481925964355,-75.92523193359375,-3.984286069869995,-2951.484375
45,-89.50040435791016,-4.5823493003845215,-74.0031509399414,-3.984286069869995,-2951.484375
46,-61.088836669921875,-7.1947431564331055,-60.469085693359375,-3.984286069869995,-2951.484375
47,-94.86939239501953,-3.0397284030914307,-88.0636978149414,-3.0397284030914307,-2951.484375
48,-81.8734130859375,-4.922859191894531,-68.17758178710938,-3.0397284030914307,-2951.484375
49,-102.71296691894531,-3.6130428314208984,-102.51332092285156,-3.0397284030914307,-2951.484375
50,-83.51663208007812,-26.6856689453125,-87.77404022216797,-3.0397284030914307,-2951.484375
51,-83.87823486328125,-8.136180877685547,-84.04691314697266,-3.0397284030914307,-2951.484375
52,-73.84935760498047,-10.696125030517578,-73.84496307373047,-3.0397284030914307,-2951.484375
53,-80.17326354980469,-9.30611801147461,-55.67422866821289,-3.0397284030914307,-2951.484375
54,-68.72256469726562,-9.187397003173828,-46.654476165771484,-3.0397284030914307,-2951.484375
55,-53.588600158691406,-26.560258865356445,-42.461280822753906,-3.0397284030914307,-2951.484375
56,-113.99330139160156,-9.56814956665039,-102.09839630126953,-3.0397284030914307,-2951.484375
57,-58.65262985229492,-14.325394630432129,-58.7170524597168,-3.0397284030914307,-2951.484375
58,-39.791748046875,-8.554627418518066,-40.45930480957031,-3.0397284030914307,-2951.484375
59,-44.547080993652344,-8.435970306396484,-39.46692657470703,-3.0397284030914307,-2951.484375
60,-54.98139190673828,-8.994958877563477,-26.854433059692383,-3.0397284030914307,-2951.484375
61,-52.48842239379883,-6.169987678527832,-42.00214385986328,-3.0397284030914307,-2951.484375
62,-27.165756225585938,-3.221085548400879,-28.973411560058594,-3.0397284030914307,-2951.484375
63,-29.415542602539062,-8.091310501098633,-30.205549240112305,-3.0397284030914307,-2951.484375
64,-57.47266387939453,-6.547965049743652,-36.42913055419922,-3.0397284030914307,-2951.484375
65,-51.70170211791992,-4.548633098602295,-18.297330856323242,-3.0397284030914307,-2951.484375
66,-31.112472534179688,-0.5056749582290649,-19.820016860961914,-0.5056749582290649,-2951.484375
67,-41.172760009765625,-1.1909033060073853,-29.03359031677246,-0.5056749582290649,-2951.484375
68,-38.015098571777344,-9.37821102142334,-28.1300048828125,-0.5056749582290649,-2951.484375
