iter,stepsize,mean_eval,pop_best_eval,median_eval
1,ReadOnlyTensor(0.0394),8.467676162719727,11.388822555541992,8.85901165008545
2,ReadOnlyTensor(0.0389),4.541459083557129,8.403787612915039,3.7114181518554688
3,ReadOnlyTensor(0.0384),8.361577987670898,13.20784854888916,8.987649917602539
4,ReadOnlyTensor(0.0379),8.064021110534668,11.156064987182617,7.720668792724609
5,ReadOnlyTensor(0.0375),9.37215518951416,13.302877426147461,9.231491088867188
6,ReadOnlyTensor(0.0372),6.172554969787598,10.170869827270508,6.820465564727783
7,ReadOnlyTensor(0.0368),8.66870403289795,12.046586990356445,8.977031707763672
8,ReadOnlyTensor(0.0365),9.672649383544922,12.831486701965332,9.915840148925781
9,ReadOnlyTensor(0.0362),6.564389228820801,10.277124404907227,5.719765663146973
10,ReadOnlyTensor(0.0359),9.763835906982422,12.856518745422363,9.938871383666992
11,ReadOnlyTensor(0.0357),6.224993705749512,10.398712158203125,5.959809303283691
12,ReadOnlyTensor(0.0354),7.8846306800842285,11.500575065612793,8.244053840637207
13,ReadOnlyTensor(0.0352),7.612596035003662,10.556587219238281,8.950260162353516
14,ReadOnlyTensor(0.0350),7.8269243240356445,12.263572692871094,7.378714084625244
15,ReadOnlyTensor(0.0347),9.75059700012207,13.452189445495605,9.531621932983398
16,ReadOnlyTensor(0.0345),7.950958251953125,13.530813217163086,7.0518341064453125
17,ReadOnlyTensor(0.0343),8.84658145904541,10.809808731079102,9.058732986450195
18,ReadOnlyTensor(0.0341),9.261717796325684,12.008689880371094,9.49326229095459
19,ReadOnlyTensor(0.0339),9.476604461669922,10.818856239318848,9.545110702514648
20,ReadOnlyTensor(0.0337),10.253817558288574,13.073519706726074,9.632644653320312
21,ReadOnlyTensor(0.0335),10.355945587158203,12.154098510742188,10.920966148376465
22,ReadOnlyTensor(0.0333),9.731708526611328,12.672037124633789,9.392620086669922
23,ReadOnlyTensor(0.0331),8.01921272277832,10.80480670928955,8.54974365234375
24,ReadOnlyTensor(0.0330),7.161103248596191,11.457965850830078,7.380900859832764
25,ReadOnlyTensor(0.0328),11.269586563110352,14.073806762695312,11.576698303222656
26,ReadOnlyTensor(0.0327),10.599727630615234,13.640563011169434,10.721410751342773
27,ReadOnlyTensor(0.0325),11.544522285461426,13.316671371459961,11.400208473205566
28,ReadOnlyTensor(0.0324),9.413642883300781,13.40579605102539,9.078248977661133
29,ReadOnlyTensor(0.0323),10.951034545898438,12.639707565307617,10.800100326538086
30,ReadOnlyTensor(0.0323),10.70361042022705,13.133094787597656,10.344199180603027
31,ReadOnlyTensor(0.0322),11.115005493164062,13.55093002319336,10.543313980102539
32,ReadOnlyTensor(0.0321),9.129325866699219,12.272043228149414,8.852002143859863
33,ReadOnlyTensor(0.0320),7.8155107498168945,9.716450691223145,7.967237949371338
34,ReadOnlyTensor(0.0320),6.963614463806152,10.948894500732422,5.7455058097839355
35,ReadOnlyTensor(0.0319),9.286280632019043,12.315059661865234,10.747679710388184
36,ReadOnlyTensor(0.0319),9.765619277954102,12.480911254882812,9.470487594604492
37,ReadOnlyTensor(0.0318),9.848261833190918,11.70646858215332,10.145843505859375
38,ReadOnlyTensor(0.0318),8.50382137298584,11.233733177185059,8.029451370239258
39,ReadOnlyTensor(0.0318),7.753358364105225,11.46762466430664,6.7964959144592285
40,ReadOnlyTensor(0.0317),10.970720291137695,14.159486770629883,10.669610977172852
41,ReadOnlyTensor(0.0317),9.044694900512695,10.829131126403809,9.340816497802734
42,ReadOnlyTensor(0.0317),10.383123397827148,12.562102317810059,10.777994155883789
43,ReadOnlyTensor(0.0316),9.628570556640625,13.185585021972656,9.489570617675781
44,ReadOnlyTensor(0.0316),10.700088500976562,14.522554397583008,9.880363464355469
45,ReadOnlyTensor(0.0315),8.576744079589844,11.599915504455566,8.142454147338867
46,ReadOnlyTensor(0.0315),6.426145076751709,9.906139373779297,6.776413440704346
47,ReadOnlyTensor(0.0314),9.149127006530762,11.268220901489258,9.831488609313965
48,ReadOnlyTensor(0.0314),8.920012474060059,11.337715148925781,8.459063529968262
49,ReadOnlyTensor(0.0314),8.068726539611816,12.251384735107422,7.300507068634033
50,ReadOnlyTensor(0.0314),10.915934562683105,12.909611701965332,10.760891914367676
51,ReadOnlyTensor(0.0313),10.262613296508789,14.072457313537598,10.165162086486816
52,ReadOnlyTensor(0.0313),7.407955169677734,11.081602096557617,6.332523822784424
53,ReadOnlyTensor(0.0313),9.183304786682129,10.869659423828125,8.908821105957031
54,ReadOnlyTensor(0.0313),10.303972244262695,12.175341606140137,10.653006553649902
55,ReadOnlyTensor(0.0312),10.063191413879395,13.67822265625,10.124580383300781
56,ReadOnlyTensor(0.0312),8.581995964050293,13.042046546936035,9.952108383178711
57,ReadOnlyTensor(0.0312),10.523923873901367,12.264842987060547,10.364790916442871
58,ReadOnlyTensor(0.0311),9.097050666809082,12.825679779052734,8.450000762939453
59,ReadOnlyTensor(0.0311),10.141698837280273,12.701849937438965,9.874405860900879
60,ReadOnlyTensor(0.0310),9.15095329284668,11.933149337768555,10.07602310180664
61,ReadOnlyTensor(0.0309),8.63798713684082,11.948216438293457,10.279672622680664
62,ReadOnlyTensor(0.0309),10.30562973022461,12.778225898742676,10.085489273071289
63,ReadOnlyTensor(0.0309),10.146429061889648,12.257072448730469,10.777851104736328
64,ReadOnlyTensor(0.0308),9.550358772277832,11.597776412963867,9.831137657165527
65,ReadOnlyTensor(0.0308),12.436408996582031,15.344160079956055,11.940641403198242
