iter,stepsize,median_eval,mean_eval,pop_best_eval
1,ReadOnlyTensor(0.0395),4.814853668212891,4.7437310218811035,9.301883697509766
2,ReadOnlyTensor(0.0390),7.065327167510986,7.093325138092041,11.543895721435547
3,ReadOnlyTensor(0.0385),1.9726272821426392,4.987635612487793,16.781917572021484
4,ReadOnlyTensor(0.0381),8.0496826171875,7.283495903015137,13.978423118591309
5,ReadOnlyTensor(0.0378),8.273545265197754,9.546849250793457,17.33245086669922
6,ReadOnlyTensor(0.0374),2.243074417114258,4.547053337097168,12.509617805480957
7,ReadOnlyTensor(0.0371),2.1785030364990234,2.2680513858795166,5.670929908752441
8,ReadOnlyTensor(0.0368),4.349370956420898,4.647400856018066,8.20668888092041
9,ReadOnlyTensor(0.0365),8.039793014526367,7.841841697692871,13.377087593078613
10,ReadOnlyTensor(0.0363),10.200075149536133,9.7456636428833,13.964503288269043
11,ReadOnlyTensor(0.0360),2.4050989151000977,2.3484644889831543,4.674850940704346
12,ReadOnlyTensor(0.0358),9.26442813873291,10.680984497070312,14.386909484863281
13,ReadOnlyTensor(0.0356),4.469238758087158,5.6861395835876465,11.013897895812988
14,ReadOnlyTensor(0.0354),1.132944107055664,1.7643482685089111,3.7533457279205322
15,ReadOnlyTensor(0.0352),7.041164398193359,7.524940490722656,11.818378448486328
16,ReadOnlyTensor(0.0350),11.931350708007812,12.526369094848633,19.385828018188477
17,ReadOnlyTensor(0.0348),20.10990333557129,17.91654396057129,21.56903648376465
18,ReadOnlyTensor(0.0346),9.82632064819336,13.130334854125977,21.60247230529785
19,ReadOnlyTensor(0.0345),28.471694946289062,26.223369598388672,34.551177978515625
20,ReadOnlyTensor(0.0343),4.655245304107666,4.556736946105957,6.692762851715088
21,ReadOnlyTensor(0.0342),16.22422218322754,16.04010009765625,26.131282806396484
22,ReadOnlyTensor(0.0341),10.634430885314941,11.297220230102539,15.07177448272705
23,ReadOnlyTensor(0.0339),6.297619342803955,6.876760005950928,13.851630210876465
24,ReadOnlyTensor(0.0338),1.4833952188491821,2.250103712081909,6.267754554748535
25,ReadOnlyTensor(0.0337),13.445990562438965,12.320019721984863,18.496591567993164
26,ReadOnlyTensor(0.0336),6.560693740844727,6.778850555419922,11.3274507522583
27,ReadOnlyTensor(0.0335),6.070676326751709,6.265010833740234,14.902641296386719
28,ReadOnlyTensor(0.0334),5.972244739532471,5.532630920410156,9.968062400817871
29,ReadOnlyTensor(0.0333),5.804206371307373,7.0845746994018555,17.237682342529297
30,ReadOnlyTensor(0.0332),13.669655799865723,14.306355476379395,18.990964889526367
31,ReadOnlyTensor(0.0331),4.495433807373047,3.9375205039978027,7.084390163421631
32,ReadOnlyTensor(0.0330),11.963753700256348,12.597381591796875,18.853090286254883
33,ReadOnlyTensor(0.0330),14.68619155883789,14.468299865722656,18.716472625732422
34,ReadOnlyTensor(0.0329),5.152422904968262,4.69585657119751,8.780852317810059
