iter,stepsize,median_eval,pop_best_eval,mean_eval,best_eval,worst_eval
1,ReadOnlyTensor(0.0974),90.70597839355469,240.09727478027344,84.80299377441406,240.09727478027344,-105.00254821777344
2,ReadOnlyTensor(0.0954),78.80751037597656,166.4534149169922,67.57962799072266,240.09727478027344,-128.902099609375
3,ReadOnlyTensor(0.0935),60.04174041748047,184.22393798828125,56.35515594482422,240.09727478027344,-128.902099609375
4,ReadOnlyTensor(0.0920),140.7074432373047,220.0835723876953,123.86949157714844,240.09727478027344,-128.902099609375
5,ReadOnlyTensor(0.0906),-13.664405822753906,175.9625244140625,-35.30077362060547,240.09727478027344,-288.36358642578125
6,ReadOnlyTensor(0.0893),40.0,180.06089782714844,30.636852264404297,240.09727478027344,-288.36358642578125
7,ReadOnlyTensor(0.0880),58.969139099121094,196.67274475097656,48.9985466003418,240.09727478027344,-288.36358642578125
8,ReadOnlyTensor(0.0870),14.512741088867188,147.36300659179688,21.520055770874023,240.09727478027344,-288.36358642578125
9,ReadOnlyTensor(0.0860),80.02217864990234,235.89431762695312,96.66667175292969,240.09727478027344,-288.36358642578125
10,ReadOnlyTensor(0.0851),75.87940216064453,201.65933227539062,84.50576782226562,240.09727478027344,-288.36358642578125
11,ReadOnlyTensor(0.0843),40.038516998291016,139.71240234375,60.39678955078125,240.09727478027344,-288.36358642578125
12,ReadOnlyTensor(0.0836),20.0,167.93997192382812,21.046215057373047,240.09727478027344,-288.36358642578125
13,ReadOnlyTensor(0.0829),61.58815002441406,272.5325927734375,84.65853118896484,272.5325927734375,-288.36358642578125
14,ReadOnlyTensor(0.0822),92.52051544189453,319.9358825683594,110.39482116699219,319.9358825683594,-288.36358642578125
15,ReadOnlyTensor(0.0816),105.5037841796875,260.0762939453125,121.63548278808594,319.9358825683594,-288.36358642578125
16,ReadOnlyTensor(0.0810),40.03999710083008,199.39346313476562,63.180702209472656,319.9358825683594,-288.36358642578125
17,ReadOnlyTensor(0.0805),67.40542602539062,140.04400634765625,48.43111801147461,319.9358825683594,-288.36358642578125
18,ReadOnlyTensor(0.0799),100.06625366210938,222.2388916015625,106.29947662353516,319.9358825683594,-288.36358642578125
19,ReadOnlyTensor(0.0795),20.032426834106445,180.0716552734375,36.36860275268555,319.9358825683594,-288.36358642578125
20,ReadOnlyTensor(0.0790),60.05374526977539,257.1917419433594,70.6156234741211,319.9358825683594,-288.36358642578125
21,ReadOnlyTensor(0.0785),40.0,197.8775177001953,55.89203643798828,319.9358825683594,-288.36358642578125
22,ReadOnlyTensor(0.0780),80.04593658447266,220.1085968017578,78.93753814697266,319.9358825683594,-288.36358642578125
23,ReadOnlyTensor(0.0775),20.0,100.026123046875,4.4869704246521,319.9358825683594,-288.36358642578125
24,ReadOnlyTensor(0.0771),100.0973129272461,207.95791625976562,101.58829498291016,319.9358825683594,-288.36358642578125
25,ReadOnlyTensor(0.0768),0.0,316.5484619140625,8.454195022583008,319.9358825683594,-288.36358642578125
26,ReadOnlyTensor(0.0766),71.944580078125,179.422119140625,66.7211685180664,319.9358825683594,-288.36358642578125
27,ReadOnlyTensor(0.0765),60.0,180.0576171875,63.6330451965332,319.9358825683594,-288.36358642578125
28,ReadOnlyTensor(0.0764),64.61931610107422,179.90902709960938,76.24878692626953,319.9358825683594,-288.36358642578125
29,ReadOnlyTensor(0.0763),100.02479553222656,229.41636657714844,94.62117004394531,319.9358825683594,-288.36358642578125
30,ReadOnlyTensor(0.0762),60.0,140.079345703125,41.435665130615234,319.9358825683594,-288.36358642578125
31,ReadOnlyTensor(0.0760),60.09239196777344,178.3310546875,83.48739624023438,319.9358825683594,-288.36358642578125
32,ReadOnlyTensor(0.0759),40.03387451171875,212.1934814453125,72.92218017578125,319.9358825683594,-288.36358642578125
33,ReadOnlyTensor(0.0757),72.30620574951172,256.38812255859375,74.673583984375,319.9358825683594,-288.36358642578125
34,ReadOnlyTensor(0.0756),65.86248779296875,168.6814727783203,61.231956481933594,319.9358825683594,-288.36358642578125
35,ReadOnlyTensor(0.0754),40.04140090942383,222.89183044433594,55.098052978515625,319.9358825683594,-288.36358642578125
36,ReadOnlyTensor(0.0752),60.05577087402344,209.89996337890625,68.54068756103516,319.9358825683594,-288.36358642578125
37,ReadOnlyTensor(0.0750),90.72064971923828,153.50469970703125,79.24498748779297,319.9358825683594,-288.36358642578125
38,ReadOnlyTensor(0.0749),60.04773712158203,161.66851806640625,64.35662841796875,319.9358825683594,-288.36358642578125
39,ReadOnlyTensor(0.0747),102.41304779052734,200.0799560546875,86.95059204101562,319.9358825683594,-288.36358642578125
40,ReadOnlyTensor(0.0745),43.00725555419922,154.49546813964844,49.143531799316406,319.9358825683594,-288.36358642578125
41,ReadOnlyTensor(0.0744),9.808509826660156,191.0955352783203,26.251657485961914,319.9358825683594,-288.36358642578125
42,ReadOnlyTensor(0.0743),60.0,200.14492797851562,52.499366760253906,319.9358825683594,-288.36358642578125
43,ReadOnlyTensor(0.0742),40.01968765258789,220.0,60.6314697265625,319.9358825683594,-288.36358642578125
44,ReadOnlyTensor(0.0742),80.0,220.09182739257812,71.21888732910156,319.9358825683594,-288.36358642578125
45,ReadOnlyTensor(0.0741),100.09539794921875,219.8553924560547,88.19087219238281,319.9358825683594,-288.36358642578125
46,ReadOnlyTensor(0.0740),60.05364227294922,227.4676971435547,95.17433166503906,319.9358825683594,-288.36358642578125
47,ReadOnlyTensor(0.0740),60.0,216.90338134765625,45.452301025390625,319.9358825683594,-288.36358642578125
