iter,median_eval,mean_eval,pop_best_eval,best_eval,worst_eval
1,-704.6441650390625,-645.0352783203125,-93.8929672241211,-93.8929672241211,-1226.1524658203125
2,-266.51910400390625,-517.9383544921875,2.381434917449951,2.381434917449951,-1469.7476806640625
3,-534.0468139648438,-715.1544799804688,-45.22456359863281,2.381434917449951,-1688.087646484375
4,-714.8920288085938,-581.3050537109375,2.150848388671875,2.381434917449951,-1698.00146484375
5,-713.45166015625,-704.4371337890625,-6.698331356048584,2.381434917449951,-1698.00146484375
6,-663.2642211914062,-531.82080078125,2.3975117206573486,2.3975117206573486,-1698.00146484375
7,-555.1643676757812,-552.2704467773438,2.295714855194092,2.3975117206573486,-1698.00146484375
8,-506.2861633300781,-551.8131103515625,-7.185577392578125,2.3975117206573486,-1882.1207275390625
9,-635.603759765625,-504.439208984375,1.556626319885254,2.3975117206573486,-1882.1207275390625
10,-102.39749908447266,-354.1143798828125,2.506709337234497,2.506709337234497,-1882.1207275390625
11,-151.52841186523438,-255.7356719970703,2.065347671508789,2.506709337234497,-1882.1207275390625
12,-187.14634704589844,-345.4675598144531,1.25374174118042,2.506709337234497,-1882.1207275390625
13,-241.80499267578125,-244.4937744140625,2.3987300395965576,2.506709337234497,-1882.1207275390625
14,-82.8587875366211,-216.44970703125,4.364648818969727,4.364648818969727,-1882.1207275390625
15,-240.78025817871094,-223.5673065185547,3.7310173511505127,4.364648818969727,-1882.1207275390625
16,-102.70101165771484,-262.4896545410156,1.9471930265426636,4.364648818969727,-1882.1207275390625
17,-117.48760223388672,-203.86947631835938,3.2597689628601074,4.364648818969727,-1882.1207275390625
18,-134.76431274414062,-155.36962890625,1.791304588317871,4.364648818969727,-1882.1207275390625
19,-13.504111289978027,-30.289600372314453,6.251608371734619,6.251608371734619,-1882.1207275390625
20,-1.4599113464355469,-7.002191066741943,2.4520702362060547,6.251608371734619,-1882.1207275390625
21,-0.11172294616699219,-27.41793441772461,4.645613670349121,6.251608371734619,-1882.1207275390625
22,1.1548328399658203,-2.5622286796569824,5.234164237976074,6.251608371734619,-1882.1207275390625
23,1.2092821598052979,-94.38703155517578,5.867040634155273,6.251608371734619,-1882.1207275390625
