iter,stepsize,mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
1,ReadOnlyTensor(0.0983),-37.43105697631836,-49.05925369262695,76.35448455810547,76.35448455810547,-100.13243103027344
2,ReadOnlyTensor(0.0968),-64.72215270996094,-48.13324737548828,0.09256406873464584,76.35448455810547,-167.02430725097656
3,ReadOnlyTensor(0.0954),-54.39075469970703,-46.10268783569336,92.53182220458984,92.53182220458984,-167.02430725097656
4,ReadOnlyTensor(0.0942),-42.02262496948242,-38.208824157714844,100.16122436523438,100.16122436523438,-167.02430725097656
5,ReadOnlyTensor(0.0931),-46.348915100097656,-41.40654754638672,0.07299332320690155,100.16122436523438,-167.02430725097656
6,ReadOnlyTensor(0.0921),-35.811798095703125,-32.6597900390625,0.0185052752494812,100.16122436523438,-167.02430725097656
7,ReadOnlyTensor(0.0912),-39.53972244262695,-30.554733276367188,67.92549133300781,100.16122436523438,-167.02430725097656
8,ReadOnlyTensor(0.0904),-34.601173400878906,-22.251676559448242,0.04583220183849335,100.16122436523438,-167.02430725097656
9,ReadOnlyTensor(0.0896),-32.191707611083984,-7.815612316131592,0.15852218866348267,100.16122436523438,-167.02430725097656
10,ReadOnlyTensor(0.0889),-34.45850372314453,-41.377471923828125,0.22792865335941315,100.16122436523438,-167.02430725097656
11,ReadOnlyTensor(0.0882),-11.593215942382812,-5.311809539794922,100.14405059814453,100.16122436523438,-167.02430725097656
12,ReadOnlyTensor(0.0876),-28.729976654052734,-24.665220260620117,0.05175746977329254,100.16122436523438,-167.02430725097656
13,ReadOnlyTensor(0.0870),-20.30558967590332,-4.210300445556641,99.87612915039062,100.16122436523438,-167.02430725097656
14,ReadOnlyTensor(0.0864),-33.534793853759766,-9.311934471130371,0.09217093139886856,100.16122436523438,-167.02430725097656
15,ReadOnlyTensor(0.0859),-20.324636459350586,-16.87991714477539,96.72701263427734,100.16122436523438,-167.02430725097656
16,ReadOnlyTensor(0.0854),-30.17637062072754,-16.219301223754883,0.12610849738121033,100.16122436523438,-167.02430725097656
17,ReadOnlyTensor(0.0850),-22.242067337036133,-3.916231393814087,0.05622322857379913,100.16122436523438,-167.02430725097656
18,ReadOnlyTensor(0.0846),-10.333561897277832,-0.7027074694633484,61.32786560058594,100.16122436523438,-167.02430725097656
19,ReadOnlyTensor(0.0841),-20.099353790283203,-3.685781478881836,71.30952453613281,100.16122436523438,-167.02430725097656
20,ReadOnlyTensor(0.0838),-18.30192756652832,-4.652426719665527,0.13045690953731537,100.16122436523438,-167.02430725097656
21,ReadOnlyTensor(0.0834),-13.69139575958252,-1.7564491033554077,0.05963502824306488,100.16122436523438,-167.02430725097656
22,ReadOnlyTensor(0.0830),-16.989768981933594,-3.7059571743011475,99.19530487060547,100.16122436523438,-167.02430725097656
23,ReadOnlyTensor(0.0827),-1.6636791229248047,-0.2380358725786209,99.92637634277344,100.16122436523438,-167.02430725097656
24,ReadOnlyTensor(0.0823),-13.820584297180176,-0.2064439207315445,35.95512771606445,100.16122436523438,-167.02430725097656
25,ReadOnlyTensor(0.0820),-10.644777297973633,-0.5382040739059448,98.87568664550781,100.16122436523438,-167.02430725097656
26,ReadOnlyTensor(0.0816),-1.5919243097305298,-0.05282533913850784,94.36580657958984,100.16122436523438,-167.02430725097656
27,ReadOnlyTensor(0.0812),-5.593855857849121,-0.17387746274471283,0.111574187874794,100.16122436523438,-167.02430725097656
28,ReadOnlyTensor(0.0809),-19.150110244750977,-0.07140865921974182,98.47235107421875,100.16122436523438,-167.02430725097656
29,ReadOnlyTensor(0.0806),-17.773494720458984,-0.4265511631965637,0.1539151668548584,100.16122436523438,-167.02430725097656
30,ReadOnlyTensor(0.0803),-7.187222480773926,-0.050810739398002625,0.11444006860256195,100.16122436523438,-167.02430725097656
31,ReadOnlyTensor(0.0800),-13.28907299041748,-0.09670569747686386,0.18250732123851776,100.16122436523438,-167.02430725097656
32,ReadOnlyTensor(0.0797),-7.117916107177734,-5.337609767913818,100.00408172607422,100.16122436523438,-167.02430725097656
33,ReadOnlyTensor(0.0795),-17.272045135498047,-2.6724398136138916,0.13712231814861298,100.16122436523438,-167.02430725097656
34,ReadOnlyTensor(0.0793),-33.175559997558594,-0.18215030431747437,0.1482839286327362,100.16122436523438,-211.83248901367188
35,ReadOnlyTensor(0.0791),-11.058563232421875,-4.55076789855957,70.54095458984375,100.16122436523438,-211.83248901367188
36,ReadOnlyTensor(0.0789),-7.485894203186035,-0.08352342247962952,0.14141100645065308,100.16122436523438,-211.83248901367188
37,ReadOnlyTensor(0.0787),3.3329975605010986,-0.056537121534347534,99.9088134765625,100.16122436523438,-211.83248901367188
38,ReadOnlyTensor(0.0785),-5.504867076873779,-0.0655573233962059,97.61705780029297,100.16122436523438,-211.83248901367188
39,ReadOnlyTensor(0.0783),-13.026426315307617,-3.083674430847168,0.026004869490861893,100.16122436523438,-211.83248901367188
40,ReadOnlyTensor(0.0781),-12.167651176452637,-0.49802839756011963,0.09163135290145874,100.16122436523438,-211.83248901367188
41,ReadOnlyTensor(0.0779),-6.622426509857178,-0.05134188383817673,0.08327754586935043,100.16122436523438,-211.83248901367188
42,ReadOnlyTensor(0.0777),-5.7314229011535645,-2.7172794342041016,100.20111846923828,100.20111846923828,-211.83248901367188
43,ReadOnlyTensor(0.0775),0.4194309711456299,-0.06972856819629669,99.825439453125,100.20111846923828,-211.83248901367188
44,ReadOnlyTensor(0.0773),-1.699340581893921,-0.015673741698265076,0.14358308911323547,100.20111846923828,-211.83248901367188
45,ReadOnlyTensor(0.0771),-3.1255784034729004,-0.05760475993156433,0.04454326629638672,100.20111846923828,-211.83248901367188
46,ReadOnlyTensor(0.0769),-4.321893215179443,-0.06641722470521927,0.1793370097875595,100.20111846923828,-211.83248901367188
47,ReadOnlyTensor(0.0767),-2.1156303882598877,-0.5552506446838379,100.08338928222656,100.20111846923828,-211.83248901367188
48,ReadOnlyTensor(0.0765),1.0987004041671753,-0.09151362627744675,63.19420623779297,100.20111846923828,-211.83248901367188
49,ReadOnlyTensor(0.0764),-3.6918749809265137,-0.003020152449607849,100.18888092041016,100.20111846923828,-211.83248901367188
50,ReadOnlyTensor(0.0762),-6.7448883056640625,-1.5679832696914673,0.08851785957813263,100.20111846923828,-211.83248901367188
51,ReadOnlyTensor(0.0760),-3.375929355621338,-0.05910336598753929,0.10002751648426056,100.20111846923828,-211.83248901367188
52,ReadOnlyTensor(0.0759),-8.620379447937012,-0.053964391350746155,0.12220369279384613,100.20111846923828,-211.83248901367188
53,ReadOnlyTensor(0.0758),-1.1697862148284912,0.0,100.11156463623047,100.20111846923828,-211.83248901367188
54,ReadOnlyTensor(0.0757),-9.670698165893555,-0.04365474730730057,0.19242528080940247,100.20111846923828,-211.83248901367188
55,ReadOnlyTensor(0.0755),3.0731492042541504,-0.07276688516139984,87.07273864746094,100.20111846923828,-211.83248901367188
56,ReadOnlyTensor(0.0754),-4.395357131958008,-0.050994567573070526,0.2158505767583847,100.20111846923828,-211.83248901367188
57,ReadOnlyTensor(0.0753),-10.437024116516113,-0.03809066116809845,0.4017167091369629,100.20111846923828,-211.83248901367188
58,ReadOnlyTensor(0.0752),-6.803261756896973,-0.18032453954219818,0.11075731366872787,100.20111846923828,-211.83248901367188
59,ReadOnlyTensor(0.0751),-1.7217200994491577,-0.009402409195899963,0.2869601845741272,100.20111846923828,-211.83248901367188
60,ReadOnlyTensor(0.0750),2.075592279434204,-0.05492003262042999,100.01905822753906,100.20111846923828,-211.83248901367188
61,ReadOnlyTensor(0.0750),-2.24712872505188,-0.03771739825606346,0.15527868270874023,100.20111846923828,-211.83248901367188
62,ReadOnlyTensor(0.0749),-3.694218158721924,-0.05617736652493477,0.13325050473213196,100.20111846923828,-211.83248901367188
63,ReadOnlyTensor(0.0749),-2.527677536010742,-0.03361653536558151,0.1806017905473709,100.20111846923828,-211.83248901367188
64,ReadOnlyTensor(0.0748),-5.72216272354126,-0.025596868246793747,0.2563015818595886,100.20111846923828,-211.83248901367188
65,ReadOnlyTensor(0.0747),-12.255131721496582,-0.0329008474946022,85.08699035644531,100.20111846923828,-211.83248901367188
66,ReadOnlyTensor(0.0746),-5.500782012939453,-0.03486230969429016,0.12142054736614227,100.20111846923828,-211.83248901367188
67,ReadOnlyTensor(0.0746),-0.9933534860610962,-0.01819828525185585,0.1309683471918106,100.20111846923828,-211.83248901367188
68,ReadOnlyTensor(0.0745),-8.355270385742188,-0.02164781093597412,0.2820233702659607,100.20111846923828,-211.83248901367188
69,ReadOnlyTensor(0.0744),-3.7626888751983643,7.642805576324463e-05,51.516597747802734,100.20111846923828,-211.83248901367188
70,ReadOnlyTensor(0.0743),-2.522160053253174,0.002234026789665222,0.24815328419208527,100.20111846923828,-211.83248901367188
71,ReadOnlyTensor(0.0743),-12.898226737976074,-1.523689866065979,0.24033713340759277,100.20111846923828,-211.83248901367188
72,ReadOnlyTensor(0.0742),-12.4783353805542,-0.08485081046819687,0.12306717038154602,100.20111846923828,-211.83248901367188
73,ReadOnlyTensor(0.0741),-2.548039436340332,0.07252182066440582,99.97667694091797,100.20111846923828,-211.83248901367188
74,ReadOnlyTensor(0.0740),2.744617462158203,0.010305453091859818,97.09857940673828,100.20111846923828,-211.83248901367188
75,ReadOnlyTensor(0.0739),-5.489247798919678,-0.0062516480684280396,0.14058107137680054,100.20111846923828,-211.83248901367188
76,ReadOnlyTensor(0.0738),-5.821759223937988,-2.189375400543213,100.11967468261719,100.20111846923828,-211.83248901367188
77,ReadOnlyTensor(0.0737),-6.223618507385254,-3.728131055831909,0.18955428898334503,100.20111846923828,-211.83248901367188
78,ReadOnlyTensor(0.0736),-1.4985458850860596,-1.4166654348373413,100.13863372802734,100.20111846923828,-211.83248901367188
79,ReadOnlyTensor(0.0735),-4.806504249572754,0.0087432861328125,93.75603485107422,100.20111846923828,-211.83248901367188
80,ReadOnlyTensor(0.0734),-5.31252908706665,-0.6560075879096985,0.17665508389472961,100.20111846923828,-211.83248901367188
81,ReadOnlyTensor(0.0733),-2.312831163406372,-0.003355860710144043,0.16810782253742218,100.20111846923828,-211.83248901367188
82,ReadOnlyTensor(0.0732),-6.9563889503479,-0.056571900844573975,0.26086169481277466,100.20111846923828,-211.83248901367188
83,ReadOnlyTensor(0.0731),-7.601884365081787,-0.002578742802143097,0.24643485248088837,100.20111846923828,-211.83248901367188
84,ReadOnlyTensor(0.0730),1.8393491506576538,0.01418992131948471,100.13482666015625,100.20111846923828,-211.83248901367188
85,ReadOnlyTensor(0.0729),-1.2524207830429077,-0.01796627789735794,0.14700327813625336,100.20111846923828,-211.83248901367188
86,ReadOnlyTensor(0.0728),-0.9341936111450195,0.04626072198152542,0.2040911167860031,100.20111846923828,-211.83248901367188
