iter,stepsize,median_eval,pop_best_eval,mean_eval
1,ReadOnlyTensor(0.0394),11.53797721862793,13.424707412719727,9.801939010620117
2,ReadOnlyTensor(0.0389),7.72733736038208,10.726932525634766,7.387547969818115
3,ReadOnlyTensor(0.0384),10.236783981323242,11.860075950622559,9.214754104614258
4,ReadOnlyTensor(0.0379),8.873516082763672,10.693824768066406,7.980966091156006
5,ReadOnlyTensor(0.0375),6.515147686004639,10.63160514831543,6.963369846343994
6,ReadOnlyTensor(0.0371),7.043141841888428,8.642016410827637,7.124161720275879
7,ReadOnlyTensor(0.0367),10.259679794311523,11.709836959838867,9.333922386169434
8,ReadOnlyTensor(0.0364),6.131521224975586,11.961055755615234,7.4524245262146
9,ReadOnlyTensor(0.0360),9.593533515930176,13.51968765258789,8.91375732421875
10,ReadOnlyTensor(0.0357),5.76271915435791,13.44205093383789,6.4587907791137695
11,ReadOnlyTensor(0.0355),8.529844284057617,13.378705024719238,8.791627883911133
12,ReadOnlyTensor(0.0352),7.461942672729492,13.552021026611328,7.967790126800537
13,ReadOnlyTensor(0.0350),7.409021854400635,11.107680320739746,6.9795379638671875
14,ReadOnlyTensor(0.0348),6.634721279144287,10.077388763427734,6.615362644195557
15,ReadOnlyTensor(0.0346),6.686707973480225,10.850196838378906,7.114818572998047
16,ReadOnlyTensor(0.0344),8.617969512939453,10.17895221710205,7.470349311828613
17,ReadOnlyTensor(0.0343),7.815049171447754,14.679805755615234,7.897194862365723
18,ReadOnlyTensor(0.0341),8.813034057617188,13.175980567932129,7.633884429931641
19,ReadOnlyTensor(0.0339),7.605302333831787,9.698786735534668,6.704174995422363
20,ReadOnlyTensor(0.0338),6.750904083251953,9.503480911254883,6.625658988952637
21,ReadOnlyTensor(0.0336),4.873270034790039,8.758203506469727,5.623560905456543
22,ReadOnlyTensor(0.0335),7.930867671966553,13.169053077697754,8.421061515808105
23,ReadOnlyTensor(0.0333),8.333625793457031,13.789438247680664,7.017913818359375
24,ReadOnlyTensor(0.0332),7.406797409057617,11.18121337890625,7.71997594833374
25,ReadOnlyTensor(0.0330),7.3163557052612305,12.643621444702148,8.149197578430176
26,ReadOnlyTensor(0.0329),8.675935745239258,11.571237564086914,7.98294734954834
27,ReadOnlyTensor(0.0327),9.96327018737793,13.844196319580078,9.211050033569336
28,ReadOnlyTensor(0.0326),8.29068374633789,11.317534446716309,8.421720504760742
