iter,stepsize,mean_eval,median_eval,pop_best_eval,best_eval,worst_eval
1,ReadOnlyTensor(0.0968),-4732.81005859375,-4745.45166015625,-4668.4404296875,-4668.4404296875,-4769.7099609375
2,ReadOnlyTensor(0.0941),-3326.805908203125,-3330.55419921875,-3283.6630859375,-3283.6630859375,-4769.7099609375
3,ReadOnlyTensor(0.0922),-5341.0615234375,-5419.048828125,-4573.07421875,-3283.6630859375,-5484.73046875
4,ReadOnlyTensor(0.0906),-7314.63671875,-7327.30908203125,-7220.9970703125,-3283.6630859375,-7410.193359375
5,ReadOnlyTensor(0.0895),-3872.76708984375,-4012.573486328125,-2984.3046875,-2984.3046875,-7410.193359375
6,ReadOnlyTensor(0.0886),-4720.08349609375,-5039.0869140625,-3380.59814453125,-2984.3046875,-7410.193359375
7,ReadOnlyTensor(0.0879),-5106.7646484375,-5234.50439453125,-3186.87158203125,-2984.3046875,-7410.193359375
8,ReadOnlyTensor(0.0873),-4175.7685546875,-3610.14697265625,-1905.7254638671875,-1905.7254638671875,-7410.193359375
9,ReadOnlyTensor(0.0869),-5704.40625,-5844.51708984375,-3924.123291015625,-1905.7254638671875,-7410.193359375
10,ReadOnlyTensor(0.0863),-3097.58935546875,-3665.366943359375,-70.0,-70.0,-7410.193359375
11,ReadOnlyTensor(0.0859),-3892.799560546875,-4314.6689453125,-90.0,-70.0,-7410.193359375
12,ReadOnlyTensor(0.0856),-6266.7822265625,-7184.31396484375,-50.0,-50.0,-8165.99267578125
13,ReadOnlyTensor(0.0852),-3116.8994140625,-3554.77685546875,-797.68701171875,-50.0,-8165.99267578125
14,ReadOnlyTensor(0.0848),-3924.895263671875,-4363.7587890625,-1555.09228515625,-50.0,-8165.99267578125
15,ReadOnlyTensor(0.0847),-2599.629638671875,-2692.56201171875,-20.0,-20.0,-8165.99267578125
16,ReadOnlyTensor(0.0845),-3430.06884765625,-3924.822021484375,-2257.962890625,-20.0,-8165.99267578125
17,ReadOnlyTensor(0.0843),-3034.55224609375,-3797.27197265625,-90.0,-20.0,-8165.99267578125
18,ReadOnlyTensor(0.0841),-1855.260986328125,-2279.482421875,0.0,0.0,-8165.99267578125
19,ReadOnlyTensor(0.0840),-636.9466552734375,-110.0,-40.0,0.0,-8165.99267578125
20,ReadOnlyTensor(0.0839),-2431.66552734375,-2426.715576171875,-40.0,0.0,-8165.99267578125
21,ReadOnlyTensor(0.0839),-775.3555297851562,-1044.0443115234375,-70.0,0.0,-8165.99267578125
22,ReadOnlyTensor(0.0838),-1124.450439453125,-705.0674438476562,-20.0,0.0,-8165.99267578125
23,ReadOnlyTensor(0.0839),-1182.5634765625,-1192.3663330078125,-30.0,0.0,-8165.99267578125
24,ReadOnlyTensor(0.0838),-1563.162109375,-1766.4813232421875,-50.0,0.0,-8165.99267578125
25,ReadOnlyTensor(0.0839),-185.52919006347656,-80.0,-40.0,0.0,-8165.99267578125
26,ReadOnlyTensor(0.0842),-558.9769287109375,-100.0,-40.0,0.0,-8165.99267578125
27,ReadOnlyTensor(0.0842),-2355.00537109375,-2603.22802734375,-50.0,0.0,-8165.99267578125
28,ReadOnlyTensor(0.0844),-3449.079345703125,-4059.2998046875,-70.0,0.0,-8165.99267578125
29,ReadOnlyTensor(0.0845),-315.2433776855469,-80.0,-40.0,0.0,-8165.99267578125
30,ReadOnlyTensor(0.0846),-975.5208129882812,-20.0,60.0,60.0,-8165.99267578125
31,ReadOnlyTensor(0.0847),-747.1026611328125,-110.0,40.0,60.0,-8165.99267578125
32,ReadOnlyTensor(0.0846),-783.53271484375,-891.0687255859375,-60.0,60.0,-8165.99267578125
33,ReadOnlyTensor(0.0845),-228.578125,-40.0,40.0,60.0,-8165.99267578125
34,ReadOnlyTensor(0.0843),-496.6361389160156,-120.0,0.0,60.0,-8165.99267578125
35,ReadOnlyTensor(0.0842),-721.0810546875,-777.3858642578125,30.0,60.0,-8165.99267578125
36,ReadOnlyTensor(0.0839),-657.72314453125,-90.0,-20.0,60.0,-8165.99267578125
37,ReadOnlyTensor(0.0836),-1081.201416015625,-1514.14501953125,-40.0,60.0,-8165.99267578125
38,ReadOnlyTensor(0.0833),-556.6121215820312,-564.8253784179688,-60.0,60.0,-8165.99267578125
39,ReadOnlyTensor(0.0829),-266.80792236328125,-100.0,-30.0,60.0,-8165.99267578125
40,ReadOnlyTensor(0.0825),-58.097572326660156,-50.0,-10.0,60.0,-8165.99267578125
41,ReadOnlyTensor(0.0820),-295.27130126953125,-100.0,-20.0,60.0,-8165.99267578125
42,ReadOnlyTensor(0.0814),-237.5782928466797,-50.0,30.0,60.0,-8165.99267578125
43,ReadOnlyTensor(0.0808),-351.9776916503906,-80.0,30.0,60.0,-8165.99267578125
44,ReadOnlyTensor(0.0805),-794.1964721679688,-1074.174560546875,110.0,110.0,-8165.99267578125
45,ReadOnlyTensor(0.0803),-182.19564819335938,-50.0,10.0,110.0,-8165.99267578125
46,ReadOnlyTensor(0.0803),-459.84381103515625,-80.0,-10.0,110.0,-8165.99267578125
47,ReadOnlyTensor(0.0804),-321.81207275390625,-80.0,-50.0,110.0,-8165.99267578125
48,ReadOnlyTensor(0.0804),-1858.5120849609375,-2439.751708984375,40.0,110.0,-8165.99267578125
49,ReadOnlyTensor(0.0805),-67.2031478881836,-60.0,-10.0,110.0,-8165.99267578125
50,ReadOnlyTensor(0.0806),-280.9805908203125,-80.0,-40.0,110.0,-8165.99267578125
51,ReadOnlyTensor(0.0807),-653.0768432617188,-246.18931579589844,-10.0,110.0,-8165.99267578125
52,ReadOnlyTensor(0.0807),-771.1517333984375,-70.0,-40.0,110.0,-8165.99267578125
53,ReadOnlyTensor(0.0807),-241.0036163330078,-158.30860900878906,35.07132339477539,110.0,-8165.99267578125
54,ReadOnlyTensor(0.0810),-215.8952178955078,-100.0,40.0,110.0,-8165.99267578125
55,ReadOnlyTensor(0.0814),-741.67919921875,-141.83006286621094,10.055475234985352,110.0,-8165.99267578125
56,ReadOnlyTensor(0.0819),-110.0191421508789,-100.0,-20.0,110.0,-8165.99267578125
57,ReadOnlyTensor(0.0824),-130.52650451660156,-70.0,40.0,110.0,-8165.99267578125
58,ReadOnlyTensor(0.0828),-56.0,-60.0,-10.0,110.0,-8165.99267578125
59,ReadOnlyTensor(0.0832),-3115.39990234375,-3316.746826171875,280.0,280.0,-8165.99267578125
60,ReadOnlyTensor(0.0833),-99.11256408691406,-60.0,140.0,280.0,-8165.99267578125
61,ReadOnlyTensor(0.0833),-166.63510131835938,-40.0,35.26172637939453,280.0,-8165.99267578125
62,ReadOnlyTensor(0.0834),-64.41044616699219,-70.0,30.0,280.0,-8165.99267578125
63,ReadOnlyTensor(0.0834),-209.1311492919922,-100.0,26.0988712310791,280.0,-8165.99267578125
64,ReadOnlyTensor(0.0836),-27.280975341796875,-20.0,20.0,280.0,-8165.99267578125
65,ReadOnlyTensor(0.0840),-137.91357421875,-40.0,120.0,280.0,-8165.99267578125
66,ReadOnlyTensor(0.0845),-47.89595413208008,-50.0,20.0,280.0,-8165.99267578125
67,ReadOnlyTensor(0.0851),-55.0,-60.0,10.0,280.0,-8165.99267578125
68,ReadOnlyTensor(0.0855),-643.2186279296875,-60.0,138.71926879882812,280.0,-8165.99267578125
69,ReadOnlyTensor(0.0860),-79.37593841552734,-20.0,157.17178344726562,280.0,-8165.99267578125
70,ReadOnlyTensor(0.0865),-181.03582763671875,-40.0,10.0,280.0,-8165.99267578125
71,ReadOnlyTensor(0.0870),-46.475257873535156,-50.0,20.0,280.0,-8165.99267578125
72,ReadOnlyTensor(0.0875),-88.19864654541016,-50.0,30.0,280.0,-8165.99267578125
73,ReadOnlyTensor(0.0878),-58.29216384887695,-90.0,50.0,280.0,-8165.99267578125
74,ReadOnlyTensor(0.0883),-46.63794708251953,-40.0,40.0,280.0,-8165.99267578125
75,ReadOnlyTensor(0.0887),21.544071197509766,10.0,154.3242645263672,280.0,-8165.99267578125
76,ReadOnlyTensor(0.0892),-57.7433967590332,-40.0,275.0787048339844,280.0,-8165.99267578125
77,ReadOnlyTensor(0.0898),107.69950866699219,70.0,398.4444580078125,398.4444580078125,-8165.99267578125
78,ReadOnlyTensor(0.0902),32.68251419067383,-47.40625,412.7700500488281,412.7700500488281,-8165.99267578125
79,ReadOnlyTensor(0.0904),47.415428161621094,20.0,187.38430786132812,412.7700500488281,-8165.99267578125
80,ReadOnlyTensor(0.0905),-163.13137817382812,-27.12398338317871,160.0,412.7700500488281,-8165.99267578125
81,ReadOnlyTensor(0.0909),84.2022933959961,80.0,306.4018249511719,412.7700500488281,-8165.99267578125
82,ReadOnlyTensor(0.0912),-126.30241394042969,-30.0,272.9617919921875,412.7700500488281,-8165.99267578125
83,ReadOnlyTensor(0.0915),-9.03766918182373,10.0,227.71609497070312,412.7700500488281,-8165.99267578125
84,ReadOnlyTensor(0.0919),39.343055725097656,92.91727447509766,261.58599853515625,412.7700500488281,-8165.99267578125
85,ReadOnlyTensor(0.0923),25.197368621826172,10.0,115.0767822265625,412.7700500488281,-8165.99267578125
86,ReadOnlyTensor(0.0927),10.911179542541504,8.010553359985352,191.4967803955078,412.7700500488281,-8165.99267578125
87,ReadOnlyTensor(0.0932),138.08804321289062,110.0,318.43310546875,412.7700500488281,-8165.99267578125
88,ReadOnlyTensor(0.0940),16.076539993286133,-20.0,256.1411437988281,412.7700500488281,-8165.99267578125
89,ReadOnlyTensor(0.0946),-3.3480124473571777,64.10021209716797,166.3058319091797,412.7700500488281,-8165.99267578125
90,ReadOnlyTensor(0.0950),79.57723999023438,60.0,297.6025085449219,412.7700500488281,-8165.99267578125
91,ReadOnlyTensor(0.0953),90.04100799560547,30.0,277.9403381347656,412.7700500488281,-8165.99267578125
92,ReadOnlyTensor(0.0954),207.1325225830078,170.0,399.1221008300781,412.7700500488281,-8165.99267578125
93,ReadOnlyTensor(0.0953),19.521160125732422,-30.0,193.89407348632812,412.7700500488281,-8165.99267578125
94,ReadOnlyTensor(0.0951),115.6190185546875,90.0,293.50384521484375,412.7700500488281,-8165.99267578125
95,ReadOnlyTensor(0.0950),81.41873168945312,50.0,220.23167419433594,412.7700500488281,-8165.99267578125
96,ReadOnlyTensor(0.0951),217.42599487304688,263.9224548339844,440.983642578125,440.983642578125,-8165.99267578125
97,ReadOnlyTensor(0.0950),44.768760681152344,54.14688491821289,167.07188415527344,440.983642578125,-8165.99267578125
98,ReadOnlyTensor(0.0950),161.71929931640625,100.0,374.967529296875,440.983642578125,-8165.99267578125
99,ReadOnlyTensor(0.0952),124.35604095458984,20.0,444.33062744140625,444.33062744140625,-8165.99267578125
100,ReadOnlyTensor(0.0952),102.13090515136719,58.56953430175781,500.66119384765625,500.66119384765625,-8165.99267578125
101,ReadOnlyTensor(0.0952),58.36309051513672,20.26153564453125,294.33416748046875,500.66119384765625,-8165.99267578125
102,ReadOnlyTensor(0.0952),113.5364990234375,100.0,435.2326965332031,500.66119384765625,-8165.99267578125
103,ReadOnlyTensor(0.0949),171.3328399658203,153.25503540039062,378.49615478515625,500.66119384765625,-8165.99267578125
