iter,stepsize,pop_best_eval,mean_eval,median_eval
1,ReadOnlyTensor(0.9974),-10.563888549804688,-192.29251098632812,-112.39228820800781
2,ReadOnlyTensor(0.9948),-31.530595779418945,-300.26971435546875,-145.14910888671875
3,ReadOnlyTensor(0.9923),-71.34860229492188,-310.3350830078125,-138.3656768798828
4,ReadOnlyTensor(0.9899),-61.47214126586914,-495.3047790527344,-306.57000732421875
5,ReadOnlyTensor(0.9875),-156.4618682861328,-391.6075439453125,-263.4407043457031
6,ReadOnlyTensor(0.9852),14.4967041015625,-324.0071105957031,-192.40084838867188
7,ReadOnlyTensor(0.9830),-83.21640014648438,-250.22543334960938,-168.44053649902344
8,ReadOnlyTensor(0.9808),-60.39739227294922,-302.66912841796875,-164.49435424804688
9,ReadOnlyTensor(0.9786),-7.7933502197265625,-208.8220672607422,-131.6421661376953
10,ReadOnlyTensor(0.9765),-91.71089172363281,-428.1354064941406,-178.91493225097656
11,ReadOnlyTensor(0.9744),-94.93646240234375,-320.4490661621094,-155.70425415039062
12,ReadOnlyTensor(0.9723),-62.52985382080078,-286.97796630859375,-103.1441879272461
13,ReadOnlyTensor(0.9703),-56.3878173828125,-106.4320297241211,-102.623291015625
14,ReadOnlyTensor(0.9683),-3.899272918701172,-299.48614501953125,-148.17388916015625
15,ReadOnlyTensor(0.9664),-82.10575103759766,-312.88751220703125,-131.98822021484375
16,ReadOnlyTensor(0.9644),-45.04742431640625,-504.91400146484375,-289.66302490234375
17,ReadOnlyTensor(0.9625),-75.35552978515625,-300.2060852050781,-134.0046844482422
18,ReadOnlyTensor(0.9607),-39.895538330078125,-463.307861328125,-90.89281463623047
19,ReadOnlyTensor(0.9588),-49.010433197021484,-473.1578063964844,-132.27349853515625
20,ReadOnlyTensor(0.9570),139.16661071777344,-589.0140991210938,-1036.161865234375
21,ReadOnlyTensor(0.9552),-50.543357849121094,-603.8695678710938,-977.891845703125
22,ReadOnlyTensor(0.9534),-40.59412384033203,-318.1988220214844,-158.12982177734375
23,ReadOnlyTensor(0.9517),-30.200485229492188,-193.56622314453125,-115.2791748046875
24,ReadOnlyTensor(0.9499),-28.157325744628906,-295.57135009765625,-140.1529541015625
25,ReadOnlyTensor(0.9482),-32.58844757080078,-227.1040496826172,-159.38658142089844
26,ReadOnlyTensor(0.9465),156.03762817382812,-316.31640625,-216.5661163330078
27,ReadOnlyTensor(0.9449),-32.8638916015625,-421.52178955078125,-246.86941528320312
28,ReadOnlyTensor(0.9432),-26.28753662109375,-289.6434631347656,-96.94251251220703
29,ReadOnlyTensor(0.9416),271.9077453613281,-479.8192443847656,-223.37908935546875
30,ReadOnlyTensor(0.9400),37.01005554199219,-55.609153747558594,-54.77539825439453
31,ReadOnlyTensor(0.9384),-41.675846099853516,-349.6519470214844,-201.18887329101562
32,ReadOnlyTensor(0.9369),28.13567352294922,-190.2460174560547,-110.12249755859375
33,ReadOnlyTensor(0.9354),-111.3484115600586,-444.2438049316406,-277.65484619140625
34,ReadOnlyTensor(0.9338),-49.43947219848633,-483.69073486328125,-137.20709228515625
35,ReadOnlyTensor(0.9324),21.508377075195312,-200.47921752929688,-119.4759750366211
36,ReadOnlyTensor(0.9309),55.878536224365234,-348.98248291015625,-99.58297729492188
37,ReadOnlyTensor(0.9294),-45.85556411743164,-485.4068298339844,-187.67359924316406
38,ReadOnlyTensor(0.9280),25.66905975341797,-372.7114562988281,-163.59210205078125
39,ReadOnlyTensor(0.9266),41.14044189453125,-324.35040283203125,-93.07360076904297
40,ReadOnlyTensor(0.9252),-96.44597625732422,-343.4339294433594,-221.76303100585938
41,ReadOnlyTensor(0.9238),5.195446014404297,-261.235107421875,-87.93130493164062
42,ReadOnlyTensor(0.9224),-9.371543884277344,-362.32196044921875,-127.6500244140625
43,ReadOnlyTensor(0.9210),14.460128784179688,-139.49600219726562,-58.03516387939453
44,ReadOnlyTensor(0.9197),-89.9197998046875,-513.3555908203125,-267.82012939453125
45,ReadOnlyTensor(0.9184),-78.54383850097656,-518.46826171875,-284.44769287109375
46,ReadOnlyTensor(0.9171),-5.733306884765625,-713.8331298828125,-1062.71533203125
47,ReadOnlyTensor(0.9158),-59.66710662841797,-410.482421875,-193.01100158691406
48,ReadOnlyTensor(0.9145),-23.838172912597656,-387.67218017578125,-130.22976684570312
49,ReadOnlyTensor(0.9132),-8.357677459716797,-494.12359619140625,-245.15147399902344
50,ReadOnlyTensor(0.9120),-50.89997863769531,-376.3505859375,-121.65309143066406
51,ReadOnlyTensor(0.9107),7.892250061035156,-481.21435546875,-227.73707580566406
52,ReadOnlyTensor(0.9095),-37.34193420410156,-576.3672485351562,-1022.3895263671875
53,ReadOnlyTensor(0.9083),-66.85327911376953,-697.3619384765625,-1053.335693359375
54,ReadOnlyTensor(0.9071),60.47283935546875,-314.99151611328125,-185.00537109375
55,ReadOnlyTensor(0.9059),-67.59650421142578,-427.39581298828125,-242.093017578125
56,ReadOnlyTensor(0.9047),-59.628089904785156,-482.97149658203125,-117.56668090820312
57,ReadOnlyTensor(0.9035),35.27240753173828,-62.41583251953125,-72.00590515136719
58,ReadOnlyTensor(0.9024),25.004146575927734,-66.54904174804688,-80.8561782836914
59,ReadOnlyTensor(0.9012),30.689483642578125,-159.11636352539062,-82.21269226074219
60,ReadOnlyTensor(0.9001),138.8970947265625,-423.29046630859375,-303.22332763671875
61,ReadOnlyTensor(0.8989),15.067855834960938,-452.90301513671875,-118.3194580078125
62,ReadOnlyTensor(0.8978),-30.54987335205078,-469.82281494140625,-132.49343872070312
63,ReadOnlyTensor(0.8967),-29.72644805908203,-112.98567962646484,-134.19296264648438
64,ReadOnlyTensor(0.8956),-37.43355941772461,-348.55438232421875,-243.54238891601562
65,ReadOnlyTensor(0.8945),-15.21026611328125,-172.1055908203125,-94.40322875976562
66,ReadOnlyTensor(0.8934),-60.42423629760742,-261.8577880859375,-214.66461181640625
67,ReadOnlyTensor(0.8923),39.11872863769531,-369.44732666015625,-266.40167236328125
68,ReadOnlyTensor(0.8912),-41.507476806640625,-190.05508422851562,-113.91485595703125
69,ReadOnlyTensor(0.8902),-8.034416198730469,-111.68182373046875,-117.89588165283203
70,ReadOnlyTensor(0.8891),-42.66892623901367,-207.79443359375,-115.55958557128906
71,ReadOnlyTensor(0.8881),-50.26259231567383,-588.9056396484375,-1062.40380859375
72,ReadOnlyTensor(0.8870),35.329063415527344,-467.63067626953125,-180.89181518554688
73,ReadOnlyTensor(0.8860),-20.5685977935791,-375.2969665527344,-114.16096496582031
74,ReadOnlyTensor(0.8850),-9.244026184082031,-476.84771728515625,-214.69296264648438
75,ReadOnlyTensor(0.8840),-129.60650634765625,-704.4444580078125,-1055.1156005859375
76,ReadOnlyTensor(0.8830),-106.53041076660156,-962.5909423828125,-1058.4432373046875
77,ReadOnlyTensor(0.8820),-44.24644088745117,-207.9887237548828,-127.47007751464844
78,ReadOnlyTensor(0.8811),-100.8740234375,-704.0169677734375,-1062.7889404296875
79,ReadOnlyTensor(0.8801),19.668350219726562,-453.1661071777344,-104.17863464355469
80,ReadOnlyTensor(0.8792),1.3553466796875,-567.4556274414062,-957.7875366210938
81,ReadOnlyTensor(0.8782),-69.2392807006836,-610.1063232421875,-1058.266357421875
82,ReadOnlyTensor(0.8773),-42.003639221191406,-360.78533935546875,-93.46029663085938
83,ReadOnlyTensor(0.8764),-39.9925537109375,-414.74761962890625,-230.7456512451172
84,ReadOnlyTensor(0.8754),-92.32073211669922,-521.4022216796875,-213.8173065185547
85,ReadOnlyTensor(0.8745),-66.66301727294922,-166.460693359375,-162.60569763183594
86,ReadOnlyTensor(0.8736),-32.19136047363281,-257.58990478515625,-205.01637268066406
87,ReadOnlyTensor(0.8727),41.51897430419922,-560.1517333984375,-1026.8475341796875
88,ReadOnlyTensor(0.8718),-79.2274169921875,-526.5887451171875,-266.13330078125
89,ReadOnlyTensor(0.8710),-43.62428283691406,-312.4280090332031,-152.82879638671875
90,ReadOnlyTensor(0.8701),-26.84339141845703,-476.3103942871094,-125.91812133789062
91,ReadOnlyTensor(0.8692),-67.80995178222656,-239.4922332763672,-198.6883544921875
92,ReadOnlyTensor(0.8683),-146.7458953857422,-507.9967346191406,-316.48675537109375
93,ReadOnlyTensor(0.8675),-48.1049690246582,-160.39859008789062,-146.41961669921875
94,ReadOnlyTensor(0.8666),-71.14420318603516,-117.79203796386719,-121.24423217773438
95,ReadOnlyTensor(0.8658),-18.96949005126953,-68.3820571899414,-77.7841796875
96,ReadOnlyTensor(0.8650),5.162864685058594,-228.68896484375,-193.26043701171875
97,ReadOnlyTensor(0.8641),5.7486419677734375,-74.5258560180664,-64.47960662841797
98,ReadOnlyTensor(0.8633),-73.34419250488281,-220.6704864501953,-121.83262634277344
99,ReadOnlyTensor(0.8625),19.332183837890625,-496.7826232910156,-219.28573608398438
100,ReadOnlyTensor(0.8617),-22.734668731689453,-169.46705627441406,-82.33424377441406
101,ReadOnlyTensor(0.8609),-41.55851745605469,-204.27102661132812,-84.26073455810547
102,ReadOnlyTensor(0.8601),23.072052001953125,-248.4688720703125,-63.87086868286133
103,ReadOnlyTensor(0.8593),55.547950744628906,-171.6129913330078,-113.79773712158203
104,ReadOnlyTensor(0.8586),-55.142967224121094,-199.75559997558594,-137.295654296875
105,ReadOnlyTensor(0.8578),87.09883117675781,-52.79821014404297,-51.92030334472656
106,ReadOnlyTensor(0.8571),-58.172725677490234,-219.5703582763672,-127.23121643066406
107,ReadOnlyTensor(0.8563),-61.095550537109375,-485.49322509765625,-193.61521911621094
108,ReadOnlyTensor(0.8556),-29.25922393798828,-393.5105285644531,-125.607177734375
109,ReadOnlyTensor(0.8548),-27.154396057128906,-286.2781677246094,-117.78678894042969
110,ReadOnlyTensor(0.8541),-46.64413070678711,-310.3614196777344,-170.11578369140625
111,ReadOnlyTensor(0.8534),24.905681610107422,-285.26171875,-127.9459228515625
112,ReadOnlyTensor(0.8526),-23.821788787841797,-205.74411010742188,-138.87371826171875
113,ReadOnlyTensor(0.8519),2.948272705078125,-360.95428466796875,-92.4161376953125
114,ReadOnlyTensor(0.8512),-10.175575256347656,-62.740150451660156,-63.70916748046875
115,ReadOnlyTensor(0.8505),-68.52932739257812,-200.91636657714844,-103.36992645263672
116,ReadOnlyTensor(0.8498),-46.632049560546875,-672.06201171875,-1063.2366943359375
117,ReadOnlyTensor(0.8491),-43.476348876953125,-215.24887084960938,-134.81378173828125
118,ReadOnlyTensor(0.8484),-49.21968078613281,-497.9871520996094,-237.9964599609375
119,ReadOnlyTensor(0.8477),5.1320343017578125,-373.08135986328125,-131.84913635253906
120,ReadOnlyTensor(0.8470),-50.22122573852539,-605.74658203125,-1057.917236328125
121,ReadOnlyTensor(0.8464),-52.167198181152344,-411.326416015625,-147.47230529785156
122,ReadOnlyTensor(0.8457),29.192176818847656,-64.24237060546875,-61.18115997314453
123,ReadOnlyTensor(0.8450),17.196762084960938,-249.06082153320312,-82.04405212402344
124,ReadOnlyTensor(0.8444),114.38093566894531,-361.43060302734375,-133.58383178710938
125,ReadOnlyTensor(0.8437),26.782913208007812,-259.90618896484375,-86.79806518554688
126,ReadOnlyTensor(0.8431),47.7969970703125,-146.80093383789062,-60.557708740234375
127,ReadOnlyTensor(0.8424),-34.23719024658203,-365.6661682128906,-102.8061294555664
128,ReadOnlyTensor(0.8418),-29.730873107910156,-388.5321350097656,-122.25340270996094
129,ReadOnlyTensor(0.8412),23.240798950195312,-261.11083984375,-74.34663391113281
130,ReadOnlyTensor(0.8405),-26.770633697509766,-60.90185546875,-62.74749755859375
131,ReadOnlyTensor(0.8399),13.652835845947266,-103.49945068359375,-97.9862060546875
132,ReadOnlyTensor(0.8393),-28.80231475830078,-66.86418151855469,-73.1976318359375
133,ReadOnlyTensor(0.8387),-16.96173095703125,-302.7049255371094,-137.45335388183594
134,ReadOnlyTensor(0.8381),-13.724632263183594,-75.35083770751953,-76.49137878417969
135,ReadOnlyTensor(0.8374),-8.889884948730469,-500.84893798828125,-217.26803588867188
136,ReadOnlyTensor(0.8368),-25.56652069091797,-300.1873474121094,-116.12257385253906
137,ReadOnlyTensor(0.8362),-112.69259643554688,-682.967529296875,-1051.26123046875
138,ReadOnlyTensor(0.8356),39.2479248046875,-449.57696533203125,-151.23342895507812
139,ReadOnlyTensor(0.8351),3.922534942626953,-675.4273681640625,-1064.3004150390625
140,ReadOnlyTensor(0.8345),-14.01263427734375,-467.59954833984375,-130.37901306152344
141,ReadOnlyTensor(0.8339),-77.67823791503906,-488.520263671875,-205.21109008789062
142,ReadOnlyTensor(0.8333),60.518924713134766,-456.2460021972656,-186.85577392578125
143,ReadOnlyTensor(0.8327),-39.65277099609375,-402.54510498046875,-126.68734741210938
144,ReadOnlyTensor(0.8321),-26.307403564453125,-100.35810852050781,-104.8054428100586
145,ReadOnlyTensor(0.8315),-51.117706298828125,-423.4573669433594,-246.98745727539062
146,ReadOnlyTensor(0.8310),-51.455142974853516,-102.85603332519531,-102.370849609375
147,ReadOnlyTensor(0.8304),-9.162750244140625,-101.62272644042969,-112.66131591796875
148,ReadOnlyTensor(0.8298),-30.359134674072266,-79.03864288330078,-68.96581268310547
149,ReadOnlyTensor(0.8293),64.301513671875,-154.7932891845703,-69.50109100341797
150,ReadOnlyTensor(0.8287),101.49496459960938,-171.0795440673828,-90.78319549560547
151,ReadOnlyTensor(0.8282),41.00225830078125,-152.2916717529297,-79.33363342285156
152,ReadOnlyTensor(0.8276),-18.44147491455078,-53.02772903442383,-63.79202651977539
153,ReadOnlyTensor(0.8271),-12.100318908691406,-480.98980712890625,-179.393798828125
154,ReadOnlyTensor(0.8266),89.98561096191406,-143.87342834472656,-72.37283325195312
155,ReadOnlyTensor(0.8260),-10.576560974121094,-454.3080139160156,-111.69002532958984
156,ReadOnlyTensor(0.8255),-30.614482879638672,-298.3511962890625,-109.3807373046875
157,ReadOnlyTensor(0.8249),34.226348876953125,-255.53305053710938,-66.8656005859375
158,ReadOnlyTensor(0.8244),42.65940856933594,-41.446533203125,-56.36088943481445
159,ReadOnlyTensor(0.8239),71.57083129882812,-76.87039947509766,-86.75167846679688
160,ReadOnlyTensor(0.8233),-2.665454864501953,-258.3002624511719,-81.21733093261719
161,ReadOnlyTensor(0.8228),-80.19717407226562,-119.45228576660156,-104.34772491455078
162,ReadOnlyTensor(0.8223),17.268592834472656,-196.9204864501953,-102.3870620727539
163,ReadOnlyTensor(0.8218),-53.40277099609375,-173.4346160888672,-69.09305572509766
164,ReadOnlyTensor(0.8213),-34.89731979370117,-181.44989013671875,-92.95106506347656
165,ReadOnlyTensor(0.8208),-14.660465240478516,-54.83269119262695,-55.84253692626953
166,ReadOnlyTensor(0.8203),-32.38176345825195,-132.2197265625,-137.08766174316406
167,ReadOnlyTensor(0.8197),8.337371826171875,-177.1641845703125,-99.46267700195312
168,ReadOnlyTensor(0.8192),-46.744972229003906,-109.3836441040039,-98.50405883789062
169,ReadOnlyTensor(0.8187),33.9356689453125,-55.26860427856445,-69.15054321289062
170,ReadOnlyTensor(0.8182),-70.3451156616211,-198.89083862304688,-104.98249053955078
171,ReadOnlyTensor(0.8177),-45.00922775268555,-76.81039428710938,-76.93583679199219
172,ReadOnlyTensor(0.8172),92.93740844726562,-185.70278930664062,-101.42807006835938
173,ReadOnlyTensor(0.8167),17.702682495117188,-75.81214904785156,-84.44490051269531
174,ReadOnlyTensor(0.8162),195.41387939453125,-24.181209564208984,-61.88203430175781
175,ReadOnlyTensor(0.8157),-55.35793685913086,-197.32594299316406,-87.3067626953125
176,ReadOnlyTensor(0.8153),64.55975341796875,-53.26423263549805,-53.580482482910156
177,ReadOnlyTensor(0.8148),116.74659729003906,-434.8311462402344,-55.47526931762695
178,ReadOnlyTensor(0.8143),-18.91100311279297,-364.70819091796875,-110.78527069091797
179,ReadOnlyTensor(0.8138),31.563404083251953,-233.57260131835938,-58.377742767333984
180,ReadOnlyTensor(0.8133),-65.91849517822266,-293.9869689941406,-86.83113098144531
181,ReadOnlyTensor(0.8129),44.69337463378906,-249.7913055419922,-72.83080291748047
182,ReadOnlyTensor(0.8124),9.161296844482422,-28.526458740234375,-29.390644073486328
183,ReadOnlyTensor(0.8119),-11.472206115722656,-64.30497741699219,-60.45358657836914
184,ReadOnlyTensor(0.8115),-27.035144805908203,-101.1427001953125,-102.80419921875
185,ReadOnlyTensor(0.8110),8.144737243652344,-115.69905853271484,-112.1341781616211
186,ReadOnlyTensor(0.8105),23.48192596435547,-142.56509399414062,-60.21078872680664
187,ReadOnlyTensor(0.8101),101.25440216064453,-155.7495880126953,-59.88743209838867
188,ReadOnlyTensor(0.8096),-4.344947814941406,-163.58474731445312,-63.620723724365234
189,ReadOnlyTensor(0.8092),166.2936248779297,-61.378334045410156,-85.1766357421875
190,ReadOnlyTensor(0.8087),-52.27501678466797,-137.58587646484375,-142.0824432373047
191,ReadOnlyTensor(0.8083),-19.913719177246094,-271.7062072753906,-229.9687042236328
192,ReadOnlyTensor(0.8079),-43.122779846191406,-209.78366088867188,-96.6094741821289
193,ReadOnlyTensor(0.8074),179.3726043701172,-251.609619140625,-98.4209213256836
194,ReadOnlyTensor(0.8070),108.41134643554688,-223.12734985351562,-55.68980026245117
195,ReadOnlyTensor(0.8066),105.50347900390625,-167.17906188964844,-59.26520538330078
196,ReadOnlyTensor(0.8061),-73.24331665039062,-317.30572509765625,-140.65640258789062
197,ReadOnlyTensor(0.8057),-61.7392463684082,-192.3517303466797,-93.3397216796875
198,ReadOnlyTensor(0.8053),-47.35734176635742,-198.67835998535156,-197.56784057617188
199,ReadOnlyTensor(0.8048),-8.27012825012207,-168.5410919189453,-73.56494903564453
200,ReadOnlyTensor(0.8044),-60.62303924560547,-163.7280731201172,-163.367919921875
201,ReadOnlyTensor(0.8040),4.859584808349609,-199.5732421875,-105.82347869873047
202,ReadOnlyTensor(0.8036),10.795459747314453,-95.36663818359375,-123.6932373046875
203,ReadOnlyTensor(0.8032),43.31793212890625,-463.5633850097656,-125.62033081054688
204,ReadOnlyTensor(0.8028),20.07012176513672,-350.8021240234375,-71.78196716308594
205,ReadOnlyTensor(0.8024),1.3705062866210938,-458.95379638671875,-133.58004760742188
