iter,stepsize,pop_best_eval,mean_eval,median_eval
1,ReadOnlyTensor(0.0386),9.917393684387207,7.860663890838623,7.8329176902771
2,ReadOnlyTensor(0.0375),7.721074104309082,5.95871114730835,5.988950252532959
3,ReadOnlyTensor(0.0367),8.833634376525879,6.719210624694824,6.880227565765381
4,ReadOnlyTensor(0.0360),8.630091667175293,6.730716705322266,6.716174602508545
5,ReadOnlyTensor(0.0354),9.015097618103027,6.434141635894775,6.336385250091553
6,ReadOnlyTensor(0.0349),8.014681816101074,5.595102310180664,5.509984493255615
7,ReadOnlyTensor(0.0345),7.316122055053711,5.709485054016113,5.796558380126953
8,ReadOnlyTensor(0.0342),8.338593482971191,6.122115612030029,5.916088581085205
9,ReadOnlyTensor(0.0339),7.880953311920166,5.762855052947998,5.707525730133057
10,ReadOnlyTensor(0.0337),8.102449417114258,6.196256160736084,6.186193943023682
11,ReadOnlyTensor(0.0335),9.36318302154541,6.640760898590088,6.25406551361084
12,ReadOnlyTensor(0.0333),8.409770965576172,6.908520698547363,7.0329155921936035
13,ReadOnlyTensor(0.0331),8.906232833862305,6.5316901206970215,6.733997821807861
14,ReadOnlyTensor(0.0329),8.457279205322266,6.285687446594238,6.579841136932373
15,ReadOnlyTensor(0.0327),9.350064277648926,7.296421527862549,7.593107223510742
16,ReadOnlyTensor(0.0326),7.84572172164917,6.398289680480957,6.682924270629883
17,ReadOnlyTensor(0.0325),7.9920525550842285,6.4900431632995605,6.572700023651123
18,ReadOnlyTensor(0.0325),10.306385040283203,8.714668273925781,8.711564064025879
19,ReadOnlyTensor(0.0325),8.746392250061035,6.751514434814453,7.040557384490967
20,ReadOnlyTensor(0.0325),8.832334518432617,7.365774154663086,7.756062984466553
21,ReadOnlyTensor(0.0325),7.281021595001221,5.826040267944336,5.976672649383545
22,ReadOnlyTensor(0.0324),7.909154415130615,6.8339104652404785,6.998163223266602
23,ReadOnlyTensor(0.0324),9.366265296936035,7.6984076499938965,8.103537559509277
24,ReadOnlyTensor(0.0324),9.578680992126465,8.325460433959961,8.4812593460083
25,ReadOnlyTensor(0.0324),7.919400691986084,6.393637657165527,6.402779579162598
26,ReadOnlyTensor(0.0324),7.4640398025512695,6.2499518394470215,6.416003704071045
27,ReadOnlyTensor(0.0324),9.817525863647461,8.476195335388184,8.770256042480469
28,ReadOnlyTensor(0.0324),6.361680507659912,4.717653274536133,4.536473274230957
29,ReadOnlyTensor(0.0325),7.749316692352295,6.752700328826904,6.874378204345703
30,ReadOnlyTensor(0.0326),8.779582977294922,6.261516571044922,6.651953220367432
31,ReadOnlyTensor(0.0327),8.758696556091309,6.976895332336426,6.810084819793701
32,ReadOnlyTensor(0.0328),8.23243522644043,6.617839336395264,6.645545482635498
33,ReadOnlyTensor(0.0329),9.955153465270996,8.213327407836914,8.024470329284668
34,ReadOnlyTensor(0.0331),9.3142671585083,7.543565273284912,7.6725993156433105
35,ReadOnlyTensor(0.0332),8.500313758850098,7.641335964202881,7.917670726776123
36,ReadOnlyTensor(0.0334),7.506532669067383,6.912527084350586,6.89764404296875
37,ReadOnlyTensor(0.0334),7.495277404785156,5.695809841156006,5.784031867980957
38,ReadOnlyTensor(0.0335),8.65239429473877,7.587434768676758,7.63419246673584
