iter,mean_eval,pop_best_eval,median_eval,best_eval,worst_eval
105,4759.51171875,2640.0,4335.001953125,1990.0,12735.021484375
106,4804.044921875,2910.0,4095.0,1990.0,12735.021484375
107,4848.45068359375,3290.0,4420.0,1990.0,12735.021484375
108,4897.68115234375,2665.0,4155.0,1990.0,12735.021484375
109,5592.17626953125,2895.0,4510.0,1990.0,12735.021484375
110,4758.185546875,2185.0,4560.0,1990.0,12735.021484375
111,4856.0,2925.0,4495.0,1990.0,12735.021484375
112,4313.91650390625,2685.0,4105.0,1990.0,12735.021484375
113,4844.6455078125,3420.0,4425.0,1990.0,12735.021484375
114,4804.58837890625,3390.0,4590.0,1990.0,12735.021484375
115,5385.736328125,3140.0,4550.0,1990.0,12735.021484375
116,4986.09423828125,3110.0,4295.0,1990.0,12735.021484375
117,4684.52587890625,1940.0,4220.0,1940.0,12735.021484375
118,4319.64306640625,3115.0,4285.0,1940.0,12735.021484375
119,5218.22412109375,3170.0,4360.0,1940.0,12735.021484375
120,5048.8603515625,2887.224853515625,4822.3388671875,1940.0,12735.021484375
121,4330.19921875,2540.0,4110.0,1940.0,12735.021484375
122,5376.30419921875,2430.138427734375,4740.0,1940.0,12735.021484375
123,5455.45068359375,2215.0,4868.55859375,1940.0,12735.021484375
124,4675.67236328125,1905.03076171875,4305.15185546875,1905.03076171875,12735.021484375
125,5197.0947265625,3865.0,4782.208984375,1905.03076171875,12735.021484375
126,5102.97314453125,3406.800537109375,4581.361328125,1905.03076171875,12735.021484375
127,4690.32177734375,2545.0,4655.0,1905.03076171875,12735.021484375
128,4419.24169921875,3160.0,3960.0,1905.03076171875,12735.021484375
129,4512.70654296875,2590.698486328125,4224.2333984375,1905.03076171875,12735.021484375
130,4467.880859375,2728.880126953125,4210.0,1905.03076171875,12735.021484375
131,4751.27294921875,3195.0,4295.0,1905.03076171875,12735.021484375
132,4551.48046875,2600.0,4585.0,1905.03076171875,12735.021484375
133,4256.138671875,2584.51123046875,4245.0,1905.03076171875,12735.021484375
134,4704.66259765625,2855.0,4395.0,1905.03076171875,12735.021484375
135,6244.62451171875,2550.0,5080.0,1905.03076171875,12735.021484375
